time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	
1.000000e-01	1	1490	9.529511e+02	7605	6.133594e+03	1.000000e-01	1	8.361737e-01	8.655267e-01	
2.000000e-01	2	1311	9.529511e+02	6144	6.133594e+03	2.000000e-01	2	8.241449e-01	8.655267e-01	
3.000000e-01	3	1826	9.529511e+02	5787	6.133594e+03	3.000000e-01	3	7.601471e-01	8.655267e-01	
4.000000e-01	4	722	9.529511e+02	5801	6.133594e+03	4.000000e-01	4	8.893147e-01	8.655267e-01	
5.000000e-01	5	1290	9.529511e+02	6827	6.133594e+03	5.000000e-01	5	8.410743e-01	8.655267e-01	
6.000000e-01	6	1875	9.529511e+02	7356	6.133594e+03	6.000000e-01	6	7.968801e-01	8.655267e-01	
7.000000e-01	7	1241	9.529511e+02	7440	6.133594e+03	7.000000e-01	7	8.570441e-01	8.655267e-01	
8.000000e-01	8	1842	9.529511e+02	5747	6.133594e+03	8.000000e-01	8	7.572803e-01	8.655267e-01	
9.000000e-01	9	1006	9.529511e+02	5883	6.133594e+03	9.000000e-01	9	8.539701e-01	8.655267e-01	
1	10	6.412000e+02	9.529511e+02	6322	6.133594e+03	1	10	9.079159e-01	8.655267e-01	
1.100000e+00	11	1345	9.529511e+02	5774	6.133594e+03	1.100000e+00	11	8.110690e-01	8.655267e-01	
1.200000e+00	12	1333	9.529511e+02	6221	6.133594e+03	1.200000e+00	12	8.235372e-01	8.655267e-01	
1.300000e+00	13	1171	9.529511e+02	6615	6.133594e+03	1.300000e+00	13	8.496018e-01	8.655267e-01	
1.400000e+00	14	1045	9.529511e+02	4359	6.133594e+03	1.400000e+00	14	8.066247e-01	8.655267e-01	
1.500000e+00	15	-8.699000e+00	9.529511e+02	7071	6.133594e+03	1.500000e+00	15	1.001232e+00	8.655267e-01	
1.600000e+00	16	1686	9.529511e+02	4440	6.133594e+03	1.600000e+00	16	7.247796e-01	8.655267e-01	
1.700000e+00	17	7.241000e+02	9.529511e+02	5182	6.133594e+03	1.700000e+00	17	8.773979e-01	8.655267e-01	
1.800000e+00	18	1506	9.529511e+02	6247	6.133594e+03	1.800000e+00	18	8.057526e-01	8.655267e-01	
1.900000e+00	19	1183	9.529511e+02	6637	6.133594e+03	1.900000e+00	19	8.487212e-01	8.655267e-01	
2	20	1145	9.529511e+02	6348	6.133594e+03	2	20	8.471907e-01	8.655267e-01	
2.100000e+00	21	-2.468000e+01	9.529511e+02	6273	6.133594e+03	2.100000e+00	21	1.003950e+00	8.655267e-01	
2.200000e+00	22	1183	9.529511e+02	6058	6.133594e+03	2.200000e+00	22	8.366248e-01	8.655267e-01	
2.300000e+00	23	1000	9.529511e+02	5349	6.133594e+03	2.300000e+00	23	8.424949e-01	8.655267e-01	
2.400000e+00	24	1.387000e+02	9.529511e+02	5809	6.133594e+03	2.400000e+00	24	9.766801e-01	8.655267e-01	
2.500000e+00	25	4.637000e+02	9.529511e+02	6030	6.133594e+03	2.500000e+00	25	9.285923e-01	8.655267e-01	
2.600000e+00	26	557	9.529511e+02	7295	6.133594e+03	2.600000e+00	26	9.290627e-01	8.655267e-01	
2.700000e+00	27	-3.192000e+01	9.529511e+02	7016	6.133594e+03	2.700000e+00	27	1.004570e+00	8.655267e-01	
2.800000e+00	28	1777	9.529511e+02	7065	6.133594e+03	2.800000e+00	28	7.990274e-01	8.655267e-01	
2.900000e+00	29	3643	3.273213e+03	2891	3.659677e+03	2.900000e+00	29	4.424549e-01	5.278718e-01	
3	30	3422	3.273213e+03	3684	3.659677e+03	3	30	5.184351e-01	5.278718e-01	
3.100000e+00	31	3395	3.273213e+03	4519	3.659677e+03	3.100000e+00	31	5.710134e-01	5.278718e-01	
3.200000e+00	32	3422	3.273213e+03	4359	3.659677e+03	3.200000e+00	32	5.602108e-01	5.278718e-01	
3.300000e+00	33	3050	3.273213e+03	4599	3.659677e+03	3.300000e+00	33	6.012551e-01	5.278718e-01	
3.400000e+00	34	3402	3.273213e+03	3571	3.659677e+03	3.400000e+00	34	5.121182e-01	5.278718e-01	
