time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
5.000000e-02	1	-5.254000e+02	5.158987e+02	5947	6.370064e+03	1.000000e-01	2	0	0	7503	6.964249e+03	5.000000e-02	1	1.096909e+00	9.250797e-01	5.000000e-02	1	4.194791e-01	4.971738e-01	
1.500000e-01	3	2.662000e+02	5.158987e+02	5050	6.370064e+03	2.000000e-01	4	0	0	6350	6.964249e+03	1.500000e-01	3	9.499266e-01	9.250797e-01	1.500000e-01	3	4.556925e-01	4.971738e-01	
2.500000e-01	5	-8.413000e+01	5.158987e+02	7312	6.370064e+03	3.000000e-01	6	0	0	7931	6.964249e+03	2.500000e-01	5	1.011640e+00	9.250797e-01	2.500000e-01	5	4.768080e-01	4.971738e-01	
3.500000e-01	7	-436	5.158987e+02	5375	6.370064e+03	4.000000e-01	8	0	0	6837	6.964249e+03	3.500000e-01	7	1.088277e+00	9.250797e-01	3.500000e-01	7	4.194124e-01	4.971738e-01	
4.500000e-01	9	6.478000e+02	5.158987e+02	4963	6.370064e+03	5.000000e-01	10	0	0	8019	6.964249e+03	4.500000e-01	9	8.845441e-01	9.250797e-01	4.500000e-01	9	4.116568e-01	4.971738e-01	
5.500000e-01	11	-2.236000e+02	5.158987e+02	5715	6.370064e+03	6.000000e-01	12	0	0	5750	6.964249e+03	5.500000e-01	11	1.040718e+00	9.250797e-01	5.500000e-01	11	4.884979e-01	4.971738e-01	
6.500000e-01	13	-4.946000e+01	5.158987e+02	6184	6.370064e+03	7.000000e-01	14	0	0	6315	6.964249e+03	6.500000e-01	13	1.008063e+00	9.250797e-01	6.500000e-01	13	4.927523e-01	4.971738e-01	
7.500000e-01	15	1448	5.158987e+02	6077	6.370064e+03	8.000000e-01	16	0	0	9044	6.964249e+03	7.500000e-01	15	8.075748e-01	9.250797e-01	7.500000e-01	15	4.541614e-01	4.971738e-01	
8.500000e-01	17	9.453000e+02	5.158987e+02	7463	6.370064e+03	9.000000e-01	18	0	0	6177	6.964249e+03	8.500000e-01	17	8.875754e-01	9.250797e-01	8.500000e-01	17	5.764914e-01	4.971738e-01	
9.500000e-01	19	5.346000e+02	5.158987e+02	6747	6.370064e+03	1	20	0	0	7006	6.964249e+03	9.500000e-01	19	9.265821e-01	9.250797e-01	9.500000e-01	19	5.096447e-01	4.971738e-01	
1.050000e+00	21	1.322000e+02	5.158987e+02	6592	6.370064e+03	1.100000e+00	22	0	0	6978	6.964249e+03	1.050000e+00	21	9.803397e-01	9.250797e-01	1.050000e+00	21	4.907387e-01	4.971738e-01	
1.150000e+00	23	2.097000e+02	5.158987e+02	6049	6.370064e+03	1.200000e+00	24	0	0	7128	6.964249e+03	1.150000e+00	23	9.664946e-01	9.250797e-01	1.150000e+00	23	4.675312e-01	4.971738e-01	
1.250000e+00	25	6.581000e+02	5.158987e+02	5138	6.370064e+03	1.300000e+00	26	0	0	6652	6.964249e+03	1.250000e+00	25	8.864581e-01	9.250797e-01	1.250000e+00	25	4.656213e-01	4.971738e-01	
1.350000e+00	27	2.613000e+02	5.158987e+02	6288	6.370064e+03	1.400000e+00	28	0	0	6329	6.964249e+03	1.350000e+00	27	9.601026e-01	9.250797e-01	1.350000e+00	27	5.085531e-01	4.971738e-01	
1.450000e+00	29	5.993000e+02	5.158987e+02	7127	6.370064e+03	1.500000e+00	30	0	0	8230	6.964249e+03	1.450000e+00	29	9.224338e-01	9.250797e-01	1.450000e+00	29	4.842163e-01	4.971738e-01	
1.550000e+00	31	5.583000e+01	5.158987e+02	6288	6.370064e+03	1.600000e+00	32	0	0	6701	6.964249e+03	1.550000e+00	31	9.911993e-01	9.250797e-01	1.550000e+00	31	4.863099e-01	4.971738e-01	
1.650000e+00	33	-688	5.158987e+02	6344	6.370064e+03	1.700000e+00	34	0	0	6869	6.964249e+03	1.650000e+00	33	1.121641e+00	9.250797e-01	1.650000e+00	33	4.515768e-01	4.971738e-01	
1.750000e+00	35	6.057000e+02	5.158987e+02	7462	6.370064e+03	1.800000e+00	36	0	0	6381	6.964249e+03	1.750000e+00	35	9.249228e-01	9.250797e-01	1.750000e+00	35	5.583686e-01	4.971738e-01	
1.850000e+00	37	6.701000e+02	5.158987e+02	6304	6.370064e+03	1.900000e+00	38	0	0	6463	6.964249e+03	1.850000e+00	37	9.039159e-01	9.250797e-01	1.850000e+00	37	5.190182e-01	4.971738e-01	
1.950000e+00	39	5.756000e+02	5.158987e+02	6149	6.370064e+03	2	40	0	0	7230	6.964249e+03	1.950000e+00	39	9.144038e-01	9.250797e-01	1.950000e+00	39	4.818913e-01	4.971738e-01	
2.050000e+00	41	3.841000e+02	5.158987e+02	6350	6.370064e+03	2.100000e+00	42	0	0	6730	6.964249e+03	2.050000e+00	41	9.429619e-01	9.250797e-01	2.050000e+00	41	5.001523e-01	4.971738e-01	
2.150000e+00	43	-5.007000e+01	5.158987e+02	6746	6.370064e+03	2.200000e+00	44	0	0	6553	6.964249e+03	2.150000e+00	43	1.007478e+00	9.250797e-01	2.150000e+00	43	5.053940e-01	4.971738e-01	
2.250000e+00	45	-2.614000e+02	5.158987e+02	5848	6.370064e+03	2.300000e+00	46	0	0	5542	6.964249e+03	2.250000e+00	45	1.046791e+00	9.250797e-01	2.250000e+00	45	5.020038e-01	4.971738e-01	
2.350000e+00	47	2.832000e+02	5.158987e+02	6678	6.370064e+03	2.400000e+00	48	0	0	7453	6.964249e+03	2.350000e+00	47	9.593174e-01	9.250797e-01	2.350000e+00	47	4.829404e-01	4.971738e-01	
2.450000e+00	49	4.876000e+02	5.158987e+02	6776	6.370064e+03	2.500000e+00	50	0	0	5500	6.964249e+03	2.450000e+00	49	9.328708e-01	9.250797e-01	2.450000e+00	49	5.690871e-01	4.971738e-01	
2.550000e+00	51	1188	5.158987e+02	6210	6.370064e+03	2.600000e+00	52	0	0	6708	6.964249e+03	2.550000e+00	51	8.394161e-01	9.250797e-01	2.550000e+00	51	5.244577e-01	4.971738e-01	
2.650000e+00	53	6.373000e+02	5.158987e+02	5762	6.370064e+03	2.700000e+00	54	0	0	6486	6.964249e+03	2.650000e+00	53	9.004110e-01	9.250797e-01	2.650000e+00	53	4.966357e-01	4.971738e-01	
2.750000e+00	55	1686	5.158987e+02	5372	6.370064e+03	2.800000e+00	56	0	0	5715	6.964249e+03	2.750000e+00	55	7.611221e-01	9.250797e-01	2.750000e+00	55	5.525718e-01	4.971738e-01	
2.850000e+00	57	-4.298000e+02	5.158987e+02	6816	6.370064e+03	2.900000e+00	58	0	0	6881	6.964249e+03	2.850000e+00	57	1.067301e+00	9.250797e-01	2.850000e+00	57	4.813525e-01	4.971738e-01	
2.950000e+00	59	2.258000e+02	5.158987e+02	6976	6.370064e+03	3	60	0	0	7088	6.964249e+03	2.950000e+00	59	9.686467e-01	9.250797e-01	2.950000e+00	59	5.039819e-01	4.971738e-01	
3.050000e+00	61	-2.568000e+01	5.158987e+02	5280	6.370064e+03	3.100000e+00	62	0	0	7450	6.964249e+03	3.050000e+00	61	1.004887e+00	9.250797e-01	3.050000e+00	61	4.135853e-01	4.971738e-01	
3.150000e+00	63	2.269000e+01	5.158987e+02	5847	6.370064e+03	3.200000e+00	64	0	0	5904	6.964249e+03	3.150000e+00	63	9.961344e-01	9.250797e-01	3.150000e+00	63	4.985429e-01	4.971738e-01	
3.250000e+00	65	8.108000e+02	5.158987e+02	6205	6.370064e+03	3.300000e+00	66	0	0	7637	6.964249e+03	3.250000e+00	65	8.844323e-01	9.250797e-01	3.250000e+00	65	4.788027e-01	4.971738e-01	
3.350000e+00	67	1362	5.158987e+02	6605	6.370064e+03	3.400000e+00	68	0	0	6447	6.964249e+03	3.350000e+00	67	8.290448e-01	9.250797e-01	3.350000e+00	67	5.527265e-01	4.971738e-01	
3.450000e+00	69	1040	5.158987e+02	6886	6.370064e+03	3.500000e+00	70	0	0	7708	6.964249e+03	3.450000e+00	69	8.687863e-01	9.250797e-01	3.450000e+00	69	5.069720e-01	4.971738e-01	
3.550000e+00	71	3.565000e+02	5.158987e+02	5886	6.370064e+03	3.600000e+00	72	0	0	6616	6.964249e+03	3.550000e+00	71	9.428915e-01	9.250797e-01	3.550000e+00	71	4.854765e-01	4.971738e-01	
