time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
1.017500e-01	1	7.743957e+03	8.876461e+03	6.432331e+02	1.580682e+02	1.491322e+02	2.159274e+01	2.035000e-01	2	4.420488e+01	9.621380e+00	7.417868e+03	7.294508e+03	1.307186e+02	2.833021e+02	1.017500e-01	1	7.669232e-02	1.719562e-02	1.017500e-01	1	5.306649e-01	5.510834e-01	
3.052500e-01	3	9.227957e+03	8.876461e+03	2.143306e+01	1.580682e+02	-1.198678e+02	2.159274e+01	4.070000e-01	4	-5.379512e+01	9.621380e+00	7.313868e+03	7.294508e+03	9.771862e+01	2.833021e+02	3.052500e-01	3	2.317240e-03	1.719562e-02	3.052500e-01	3	5.584282e-01	5.510834e-01	
5.087500e-01	5	9.275957e+03	8.876461e+03	-1.550694e+01	1.580682e+02	-5.986776e+01	2.159274e+01	6.105000e-01	6	-1.137951e+02	9.621380e+00	7.242868e+03	7.294508e+03	5.657186e+02	2.833021e+02	5.087500e-01	5	-1.674534e-03	1.719562e-02	5.087500e-01	5	5.611265e-01	5.510834e-01	
7.122500e-01	7	7.863957e+03	8.876461e+03	3.261731e+02	1.580682e+02	2.541322e+02	2.159274e+01	8.140000e-01	8	2.402049e+02	9.621380e+00	6.650868e+03	7.294508e+03	2.857186e+02	2.833021e+02	7.122500e-01	7	3.982514e-02	1.719562e-02	7.122500e-01	7	5.518584e-01	5.510834e-01	
9.157500e-01	9	9.145957e+03	8.876461e+03	-4.151269e+02	1.580682e+02	-7.867763e+00	2.159274e+01	1.017500e+00	10	-3.079512e+01	9.621380e+00	7.378868e+03	7.294508e+03	2.797186e+02	2.833021e+02	9.157500e-01	9	-4.754725e-02	1.719562e-02	9.157500e-01	9	5.419611e-01	5.510834e-01	
1.119250e+00	11	9.155957e+03	8.876461e+03	2.853531e+02	1.580682e+02	-7.867763e+00	2.159274e+01	1.221000e+00	12	4.420488e+01	9.621380e+00	8.519868e+03	7.294508e+03	2.471862e+01	2.833021e+02	1.119250e+00	11	3.022388e-02	1.719562e-02	1.119250e+00	11	5.256509e-01	5.510834e-01	
1.322750e+00	13	9.144957e+03	8.876461e+03	-1.165169e+02	1.580682e+02	8.613224e+01	2.159274e+01	1.424500e+00	14	3.612049e+02	9.621380e+00	7.601868e+03	7.294508e+03	2.467186e+02	2.833021e+02	1.322750e+00	13	-1.290555e-02	1.719562e-02	1.322750e+00	13	5.428907e-01	5.510834e-01	
1.526250e+00	15	8.583957e+03	8.876461e+03	1.223131e+02	1.580682e+02	8.413224e+01	2.159274e+01	1.628000e+00	16	-7.795120e+00	9.621380e+00	8.423868e+03	7.294508e+03	2.387186e+02	2.833021e+02	1.526250e+00	15	1.404885e-02	1.719562e-02	1.526250e+00	15	5.082428e-01	5.510834e-01	
1.729750e+00	17	8.555957e+03	8.876461e+03	5.107331e+02	1.580682e+02	-2.486776e+01	2.159274e+01	1.831500e+00	18	-1.779512e+01	9.621380e+00	7.700868e+03	7.294508e+03	-7.028138e+01	2.833021e+02	1.729750e+00	17	5.633071e-02	1.719562e-02	1.729750e+00	17	5.407281e-01	5.510834e-01	
1.933250e+00	19	8.879957e+03	8.876461e+03	1.718731e+02	1.580682e+02	-1.088678e+02	2.159274e+01	2.035000e+00	20	6.020488e+01	9.621380e+00	7.809868e+03	7.294508e+03	1.387186e+02	2.833021e+02	1.933250e+00	19	1.898766e-02	1.719562e-02	1.933250e+00	19	5.368279e-01	5.510834e-01	
2.136750e+00	21	8.261957e+03	8.876461e+03	-5.890694e+01	1.580682e+02	-7.986776e+01	2.159274e+01	2.238500e+00	22	-1.607951e+02	9.621380e+00	7.511868e+03	7.294508e+03	4.471862e+01	2.833021e+02	2.136750e+00	21	-7.181102e-03	1.719562e-02	2.136750e+00	21	5.219912e-01	5.510834e-01	
