time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	
1.000000e-01	1	5886	6.451038e+03	1561	6.073779e+02	1.000000e-01	1	2.096146e-01	8.605018e-02	
2.000000e-01	2	5803	6.451038e+03	4.633000e+02	6.073779e+02	2.000000e-01	2	7.393518e-02	8.605018e-02	
3.000000e-01	3	4648	6.451038e+03	2136	6.073779e+02	3.000000e-01	3	3.148585e-01	8.605018e-02	
4.000000e-01	4	1675	6.992459e+02	7521	7.852190e+03	4.000000e-01	4	8.178556e-01	9.182306e-01	
5.000000e-01	5	1005	6.992459e+02	8407	7.852190e+03	5.000000e-01	5	8.932214e-01	9.182306e-01	
6.000000e-01	6	6.554000e+02	6.992459e+02	6375	7.852190e+03	6.000000e-01	6	9.067763e-01	9.182306e-01	
7.000000e-01	7	1238	6.992459e+02	9480	7.852190e+03	7.000000e-01	7	8.844934e-01	9.182306e-01	
8.000000e-01	8	5.861000e+02	6.992459e+02	7903	7.852190e+03	8.000000e-01	8	9.309585e-01	9.182306e-01	
9.000000e-01	9	1375	6.992459e+02	8061	7.852190e+03	9.000000e-01	9	8.542815e-01	9.182306e-01	
1	10	1292	6.992459e+02	7455	7.852190e+03	1	10	8.522922e-01	9.182306e-01	
1.100000e+00	11	1.673000e+02	6.992459e+02	8188	7.852190e+03	1.100000e+00	11	9.799768e-01	9.182306e-01	
1.200000e+00	12	1238	6.992459e+02	8053	7.852190e+03	1.200000e+00	12	8.667528e-01	9.182306e-01	
1.300000e+00	13	1858	6.992459e+02	6734	7.852190e+03	1.300000e+00	13	7.837523e-01	9.182306e-01	
1.400000e+00	14	1.195000e+02	6.992459e+02	7284	7.852190e+03	1.400000e+00	14	9.838590e-01	9.182306e-01	
1.500000e+00	15	3.898000e+02	6.992459e+02	7555	7.852190e+03	1.500000e+00	15	9.509365e-01	9.182306e-01	
1.600000e+00	16	1378	6.992459e+02	8135	7.852190e+03	1.600000e+00	16	8.551456e-01	9.182306e-01	
1.700000e+00	17	8749	6.451038e+03	1117	6.073779e+02	1.700000e+00	17	1.132171e-01	8.605018e-02	
1.800000e+00	18	8369	6.451038e+03	1053	6.073779e+02	1.800000e+00	18	1.117597e-01	8.605018e-02	
1.900000e+00	19	6597	6.451038e+03	5.767000e+02	6.073779e+02	1.900000e+00	19	8.039087e-02	8.605018e-02	
2	20	6803	6.451038e+03	8.594000e+02	6.073779e+02	2	20	1.121581e-01	8.605018e-02	
2.100000e+00	21	7195	6.451038e+03	-2.233000e+02	6.073779e+02	2.100000e+00	21	-3.202949e-02	8.605018e-02	
2.200000e+00	22	7700	6.451038e+03	5.828000e+02	6.073779e+02	2.200000e+00	22	7.036268e-02	8.605018e-02	
2.300000e+00	23	7105	6.451038e+03	-4.457000e+01	6.073779e+02	2.300000e+00	23	-6.312647e-03	8.605018e-02	
2.400000e+00	24	6698	6.451038e+03	1.848000e+02	6.073779e+02	2.400000e+00	24	2.684954e-02	8.605018e-02	
2.500000e+00	25	6194	6.451038e+03	5.469000e+02	6.073779e+02	2.500000e+00	25	8.113160e-02	8.605018e-02	
2.600000e+00	26	7254	6.451038e+03	2.924000e+02	6.073779e+02	2.600000e+00	26	3.874695e-02	8.605018e-02	
2.700000e+00	27	6508	6.451038e+03	1189	6.073779e+02	2.700000e+00	27	1.544758e-01	8.605018e-02	
2.800000e+00	28	4943	6.451038e+03	1924	6.073779e+02	2.800000e+00	28	2.801806e-01	8.605018e-02	
2.900000e+00	29	7298	6.451038e+03	235	6.073779e+02	2.900000e+00	29	3.119607e-02	8.605018e-02	
3	30	6686	6.451038e+03	1.132000e+02	6.073779e+02	3	30	1.664902e-02	8.605018e-02	
3.100000e+00	31	7586	6.451038e+03	1041	6.073779e+02	3.100000e+00	31	1.206677e-01	8.605018e-02	
3.200000e+00	32	6927	6.451038e+03	1442	6.073779e+02	3.200000e+00	32	1.723025e-01	8.605018e-02	
3.300000e+00	33	6637	6.451038e+03	-1.718000e+02	6.073779e+02	3.300000e+00	33	-2.657304e-02	8.605018e-02	
3.400000e+00	34	7798	6.451038e+03	1.355000e+02	6.073779e+02	3.400000e+00	34	1.707947e-02	8.605018e-02	
3.500000e+00	35	8359	6.451038e+03	8.382000e+02	6.073779e+02	3.500000e+00	35	9.113643e-02	8.605018e-02	
3.600000e+00	36	6276	6.451038e+03	7.795000e+02	6.073779e+02	3.600000e+00	36	1.104812e-01	8.605018e-02	
3.700000e+00	37	5521	6.451038e+03	1.662000e+02	6.073779e+02	3.700000e+00	37	2.922352e-02	8.605018e-02	
3.800000e+00	38	8417	6.451038e+03	5.672000e+02	6.073779e+02	3.800000e+00	38	6.313306e-02	8.605018e-02	
3.900000e+00	39	3563	6.451038e+03	3724	6.073779e+02	3.900000e+00	39	5.110471e-01	8.605018e-02	
4	40	5.838000e+02	6.992459e+02	8959	7.852190e+03	4	40	9.388230e-01	9.182306e-01	
4.100000e+00	41	1185	6.992459e+02	8428	7.852190e+03	4.100000e+00	41	8.767294e-01	9.182306e-01	
4.200000e+00	42	-4.614000e+02	6.992459e+02	7847	7.852190e+03	4.200000e+00	42	1.062473e+00	9.182306e-01	
4.300000e+00	43	1552	6.992459e+02	6846	7.852190e+03	4.300000e+00	43	8.151941e-01	9.182306e-01	
4.400000e+00	44	5.387000e+01	6.992459e+02	9101	7.852190e+03	4.400000e+00	44	9.941157e-01	9.182306e-01	
4.500000e+00	45	1483	6.992459e+02	7267	7.852190e+03	4.500000e+00	45	8.305143e-01	9.182306e-01	
4.600000e+00	46	1483	6.992459e+02	7917	7.852190e+03	4.600000e+00	46	8.422340e-01	9.182306e-01	
4.700000e+00	47	9.962000e+02	6.992459e+02	8991	7.852190e+03	4.700000e+00	47	9.002523e-01	9.182306e-01	
4.800000e+00	48	3.444000e+02	6.992459e+02	7786	7.852190e+03	4.800000e+00	48	9.576405e-01	9.182306e-01	
4.900000e+00	49	5.764000e+02	6.992459e+02	9147	7.852190e+03	4.900000e+00	49	9.407203e-01	9.182306e-01	
5	50	2037	6.992459e+02	6957	7.852190e+03	5	50	7.735157e-01	9.182306e-01	
5.100000e+00	51	7.805000e+02	6.992459e+02	6691	7.852190e+03	5.100000e+00	51	8.955364e-01	9.182306e-01	
5.200000e+00	52	9.235000e+02	6.992459e+02	9020	7.852190e+03	5.200000e+00	52	9.071253e-01	9.182306e-01	
5.300000e+00	53	1769	6.992459e+02	9076	7.852190e+03	5.300000e+00	53	8.368834e-01	9.182306e-01	
5.400000e+00	54	3.425000e+01	6.992459e+02	8142	7.852190e+03	5.400000e+00	54	9.958110e-01	9.182306e-01	
5.500000e+00	55	9.412000e+02	6.992459e+02	8356	7.852190e+03	5.500000e+00	55	8.987652e-01	9.182306e-01	
5.600000e+00	56	7.819000e+02	6.992459e+02	8874	7.852190e+03	5.600000e+00	56	9.190236e-01	9.182306e-01	
5.700000e+00	57	6.994000e+02	6.992459e+02	8297	7.852190e+03	5.700000e+00	57	9.222578e-01	9.182306e-01	
5.800000e+00	58	5.395000e+02	6.992459e+02	8965	7.852190e+03	5.800000e+00	58	9.432374e-01	9.182306e-01	
5.900000e+00	59	826	6.992459e+02	9151	7.852190e+03	5.900000e+00	59	9.172096e-01	9.182306e-01	
6	60	5.936000e+02	6.992459e+02	7504	7.852190e+03	6	60	9.266943e-01	9.182306e-01	
6.100000e+00	61	4.512000e+02	6.992459e+02	8058	7.852190e+03	6.100000e+00	61	9.469750e-01	9.182306e-01	
6.200000e+00	62	-5.801000e+02	6.992459e+02	7959	7.852190e+03	6.200000e+00	62	1.078616e+00	9.182306e-01	
6.300000e+00	63	8.708000e+02	6.992459e+02	7685	7.852190e+03	6.300000e+00	63	8.982211e-01	9.182306e-01	
6.400000e+00	64	6.466000e+00	6.992459e+02	7035	7.852190e+03	6.400000e+00	64	9.990817e-01	9.182306e-01	
6.500000e+00	65	1752	6.992459e+02	6958	7.852190e+03	6.500000e+00	65	7.988519e-01	9.182306e-01	
6.600000e+00	66	4.951000e+02	6.992459e+02	6608	7.852190e+03	6.600000e+00	66	9.302980e-01	9.182306e-01	
6.700000e+00	67	-3.189000e+01	6.992459e+02	7151	7.852190e+03	6.700000e+00	67	1.004479e+00	9.182306e-01	
6.800000e+00	68	1.694000e+02	6.992459e+02	8495	7.852190e+03	6.800000e+00	68	9.804487e-01	9.182306e-01	
6.900000e+00	69	3.853000e+02	6.992459e+02	7466	7.852190e+03	6.900000e+00	69	9.509253e-01	9.182306e-01	
7	70	6.292000e+02	6.992459e+02	7759	7.852190e+03	7	70	9.249899e-01	9.182306e-01	
7.100000e+00	71	663	6.992459e+02	7324	7.852190e+03	7.100000e+00	71	9.169901e-01	9.182306e-01	
7.200000e+00	72	6.617000e+02	6.992459e+02	9851	7.852190e+03	7.200000e+00	72	9.370571e-01	9.182306e-01	
7.300000e+00	73	4.178000e+02	6.992459e+02	8453	7.852190e+03	7.300000e+00	73	9.529017e-01	9.182306e-01	
7.400000e+00	74	-3.474000e+02	6.992459e+02	6135	7.852190e+03	7.400000e+00	74	1.060025e+00	9.182306e-01	
7.500000e+00	75	-3.505000e+02	6.992459e+02	8151	7.852190e+03	7.500000e+00	75	1.044933e+00	9.182306e-01	
7.600000e+00	76	1546	6.992459e+02	6542	7.852190e+03	7.600000e+00	76	8.088526e-01	9.182306e-01	
7.700000e+00	77	1561	6.992459e+02	8808	7.852190e+03	7.700000e+00	77	8.494551e-01	9.182306e-01	
7.800000e+00	78	8.245000e+00	6.992459e+02	8126	7.852190e+03	7.800000e+00	78	9.989864e-01	9.182306e-01	
7.900000e+00	79	-5.979000e+01	6.992459e+02	8342	7.852190e+03	7.900000e+00	79	1.007219e+00	9.182306e-01	
8	80	6992	6.451038e+03	6.959000e+02	6.073779e+02	8	80	9.051887e-02	8.605018e-02	
8.100000e+00	81	7243	6.451038e+03	9.481000e+02	6.073779e+02	8.100000e+00	81	1.157476e-01	8.605018e-02	
8.200000e+00	82	6463	6.451038e+03	752	6.073779e+02	8.200000e+00	82	1.042273e-01	8.605018e-02	
8.300000e+00	83	6139	6.451038e+03	-7.269000e+02	6.073779e+02	8.300000e+00	83	-1.343102e-01	8.605018e-02	
8.400000e+00	84	8408	6.451038e+03	1575	6.073779e+02	8.400000e+00	84	1.577682e-01	8.605018e-02	
8.500000e+00	85	7142	6.451038e+03	8.332000e+02	6.073779e+02	8.500000e+00	85	1.044739e-01	8.605018e-02	
8.600000e+00	86	6525	6.451038e+03	1442	6.073779e+02	8.600000e+00	86	1.809966e-01	8.605018e-02	
8.700000e+00	87	5918	6.451038e+03	-3.488000e+02	6.073779e+02	8.700000e+00	87	-6.263018e-02	8.605018e-02	
8.800000e+00	88	4523	6.451038e+03	6.809000e+02	6.073779e+02	8.800000e+00	88	1.308442e-01	8.605018e-02	
8.900000e+00	89	5536	6.451038e+03	-1.015000e+02	6.073779e+02	8.900000e+00	89	-1.867697e-02	8.605018e-02	
9	90	8346	6.451038e+03	5.806000e+02	6.073779e+02	9	90	6.504156e-02	8.605018e-02	
9.100000e+00	91	6245	6.451038e+03	9.584000e+01	6.073779e+02	9.100000e+00	91	1.511472e-02	8.605018e-02	
9.200000e+00	92	5787	6.451038e+03	8.997000e+02	6.073779e+02	9.200000e+00	92	1.345507e-01	8.605018e-02	
9.300000e+00	93	8146	6.451038e+03	8.484000e+02	6.073779e+02	9.300000e+00	93	9.432536e-02	8.605018e-02	
9.400000e+00	94	6931	6.451038e+03	-8.777000e+01	6.073779e+02	9.400000e+00	94	-1.282581e-02	8.605018e-02	
9.500000e+00	95	7752	6.451038e+03	3.112000e+02	6.073779e+02	9.500000e+00	95	3.859510e-02	8.605018e-02	
9.600000e+00	96	6505	6.451038e+03	7.934000e+02	6.073779e+02	9.600000e+00	96	1.087088e-01	8.605018e-02	
9.700000e+00	97	6138	6.451038e+03	-4.888000e+02	6.073779e+02	9.700000e+00	97	-8.652553e-02	8.605018e-02	
9.800000e+00	98	6857	6.451038e+03	-4.426000e+02	6.073779e+02	9.800000e+00	98	-6.900100e-02	8.605018e-02	
9.900000e+00	99	6763	6.451038e+03	-2.443000e+02	6.073779e+02	9.900000e+00	99	-3.747680e-02	8.605018e-02	
10	100	7238	6.451038e+03	1822	6.073779e+02	10	100	2.011038e-01	8.605018e-02	
1.010000e+01	101	7579	6.451038e+03	-1.709000e+02	6.073779e+02	1.010000e+01	101	-2.306934e-02	8.605018e-02	
1.020000e+01	102	5254	6.451038e+03	-2.466000e+02	6.073779e+02	1.020000e+01	102	-4.924711e-02	8.605018e-02	
1.030000e+01	103	6810	6.451038e+03	1607	6.073779e+02	1.030000e+01	103	1.909231e-01	8.605018e-02	
1.040000e+01	104	8214	6.451038e+03	-1.548000e+02	6.073779e+02	1.040000e+01	104	-1.920786e-02	8.605018e-02	
1.050000e+01	105	6050	6.451038e+03	1.056000e+02	6.073779e+02	1.050000e+01	105	1.715511e-02	8.605018e-02	
1.060000e+01	106	3039	6.451038e+03	6898	7.852190e+03	1.060000e+01	106	6.941733e-01	8.605018e-02	
1.070000e+01	107	-454	6.992459e+02	8351	7.852190e+03	1.070000e+01	107	1.057490e+00	9.182306e-01	
1.080000e+01	108	8.121000e+02	6.992459e+02	7801	7.852190e+03	1.080000e+01	108	9.057134e-01	9.182306e-01	
1.090000e+01	109	4.349000e+01	6.992459e+02	7676	7.852190e+03	1.090000e+01	109	9.943662e-01	9.182306e-01	
11	110	-118	6.992459e+02	6011	7.852190e+03	11	110	1.020024e+00	9.182306e-01	
1.110000e+01	111	1948	6.992459e+02	7300	7.852190e+03	1.110000e+01	111	7.893599e-01	9.182306e-01	
1.120000e+01	112	6.853000e+02	6.992459e+02	7213	7.852190e+03	1.120000e+01	112	9.132345e-01	9.182306e-01	
1.130000e+01	113	1042	6.992459e+02	8253	7.852190e+03	1.130000e+01	113	8.878967e-01	9.182306e-01	
1.140000e+01	114	-1233	6.992459e+02	7527	7.852190e+03	1.140000e+01	114	1.195901e+00	9.182306e-01	
1.150000e+01	115	9.287000e+02	6.992459e+02	6170	7.852190e+03	1.150000e+01	115	8.691732e-01	9.182306e-01	
1.160000e+01	116	1530	6.992459e+02	9374	7.852190e+03	1.160000e+01	116	8.596845e-01	9.182306e-01	
1.170000e+01	117	-6.874000e+01	6.992459e+02	8340	7.852190e+03	1.170000e+01	117	1.008311e+00	9.182306e-01	
1.180000e+01	118	4.256000e+01	6.992459e+02	8824	7.852190e+03	1.180000e+01	118	9.951999e-01	9.182306e-01	
1.190000e+01	119	2910	6.992459e+02	8901	7.852190e+03	1.190000e+01	119	7.536195e-01	9.182306e-01	
12	120	1413	6.992459e+02	8040	7.852190e+03	12	120	8.505236e-01	9.182306e-01	
1.210000e+01	121	-1.063000e+02	6.992459e+02	8068	7.852190e+03	1.210000e+01	121	1.013351e+00	9.182306e-01	
1.220000e+01	122	8.562000e+02	6.992459e+02	9171	7.852190e+03	1.220000e+01	122	9.146123e-01	9.182306e-01	
1.230000e+01	123	2.805000e+02	6.992459e+02	7744	7.852190e+03	1.230000e+01	123	9.650446e-01	9.182306e-01	
1.240000e+01	124	2.479000e+02	6.992459e+02	8667	7.852190e+03	1.240000e+01	124	9.721926e-01	9.182306e-01	
1.250000e+01	125	8.649000e+02	6.992459e+02	7386	7.852190e+03	1.250000e+01	125	8.951751e-01	9.182306e-01	
1.260000e+01	126	1.609000e+02	6.992459e+02	8851	7.852190e+03	1.260000e+01	126	9.821458e-01	9.182306e-01	
1.270000e+01	127	1.639000e+02	6.992459e+02	9580	7.852190e+03	1.270000e+01	127	9.831792e-01	9.182306e-01	
1.280000e+01	128	1.635000e+02	6.992459e+02	7431	7.852190e+03	1.280000e+01	128	9.784713e-01	9.182306e-01	
1.290000e+01	129	4.054000e+02	6.992459e+02	8199	7.852190e+03	1.290000e+01	129	9.528846e-01	9.182306e-01	
13	130	1343	6.992459e+02	7926	7.852190e+03	13	130	8.551084e-01	9.182306e-01	
1.310000e+01	131	1317	6.992459e+02	6804	7.852190e+03	1.310000e+01	131	8.378279e-01	9.182306e-01	
1.320000e+01	132	1823	6.992459e+02	8944	7.852190e+03	1.320000e+01	132	8.306864e-01	9.182306e-01	
1.330000e+01	133	8.069000e+02	6.992459e+02	7758	7.852190e+03	1.330000e+01	133	9.057899e-01	9.182306e-01	
1.340000e+01	134	7.716000e+02	6.992459e+02	7648	7.852190e+03	1.340000e+01	134	9.083567e-01	9.182306e-01	
1.350000e+01	135	2.887000e+02	6.992459e+02	8838	7.852190e+03	1.350000e+01	135	9.683675e-01	9.182306e-01	
1.360000e+01	136	5.252000e+02	6.992459e+02	7637	7.852190e+03	1.360000e+01	136	9.356546e-01	9.182306e-01	
1.370000e+01	137	6.731000e+02	6.992459e+02	9658	7.852190e+03	1.370000e+01	137	9.348472e-01	9.182306e-01	
1.380000e+01	138	4.672000e+02	6.992459e+02	7925	7.852190e+03	1.380000e+01	138	9.443293e-01	9.182306e-01	
1.390000e+01	139	-1.096000e+02	6.992459e+02	8166	7.852190e+03	1.390000e+01	139	1.013604e+00	9.182306e-01	
14	140	2.794000e+02	6.992459e+02	6668	7.852190e+03	14	140	9.597835e-01	9.182306e-01	
1.410000e+01	141	6.372000e+02	6.992459e+02	7643	7.852190e+03	1.410000e+01	141	9.230453e-01	9.182306e-01	
1.420000e+01	142	-1.416000e+02	6.992459e+02	7143	7.852190e+03	1.420000e+01	142	1.020225e+00	9.182306e-01	
1.430000e+01	143	-9.086000e+02	6.992459e+02	6342	7.852190e+03	1.430000e+01	143	1.167225e+00	9.182306e-01	
1.440000e+01	144	8.108000e+02	6.992459e+02	8464	7.852190e+03	1.440000e+01	144	9.125803e-01	9.182306e-01	
1.450000e+01	145	-5.936000e+02	6.992459e+02	8151	7.852190e+03	1.450000e+01	145	1.078546e+00	9.182306e-01	
1.460000e+01	146	1056	6.992459e+02	7898	7.852190e+03	1.460000e+01	146	8.820639e-01	9.182306e-01	
1.470000e+01	147	-5.777000e+01	6.992459e+02	7901	7.852190e+03	1.470000e+01	147	1.007366e+00	9.182306e-01	
1.480000e+01	148	1390	6.992459e+02	8421	7.852190e+03	1.480000e+01	148	8.583223e-01	9.182306e-01	
1.490000e+01	149	4.034000e+02	6.992459e+02	8099	7.852190e+03	1.490000e+01	149	9.525546e-01	9.182306e-01	
15	150	-3.076000e+02	6.992459e+02	6702	7.852190e+03	15	150	1.048105e+00	9.182306e-01	
1.510000e+01	151	1238	6.992459e+02	6564	7.852190e+03	1.510000e+01	151	8.413227e-01	9.182306e-01	
1.520000e+01	152	1257	6.992459e+02	7889	7.852190e+03	1.520000e+01	152	8.625629e-01	9.182306e-01	
1.530000e+01	153	1470	6.992459e+02	8603	7.852190e+03	1.530000e+01	153	8.540653e-01	9.182306e-01	
1.540000e+01	154	3.427000e+02	6.992459e+02	6543	7.852190e+03	1.540000e+01	154	9.502302e-01	9.182306e-01	
1.550000e+01	155	1303	6.992459e+02	7961	7.852190e+03	1.550000e+01	155	8.593480e-01	9.182306e-01	
1.560000e+01	156	3.779000e+02	6.992459e+02	7797	7.852190e+03	1.560000e+01	156	9.537731e-01	9.182306e-01	
1.570000e+01	157	1008	6.992459e+02	7802	7.852190e+03	1.570000e+01	157	8.855846e-01	9.182306e-01	
1.580000e+01	158	1362	6.992459e+02	7487	7.852190e+03	1.580000e+01	158	8.460843e-01	9.182306e-01	
1.590000e+01	159	1.442000e+02	6.992459e+02	8183	7.852190e+03	1.590000e+01	159	9.826833e-01	9.182306e-01	
16	160	1237	6.992459e+02	9385	7.852190e+03	16	160	8.835436e-01	9.182306e-01	
1.610000e+01	161	1359	6.992459e+02	7477	7.852190e+03	1.610000e+01	161	8.461974e-01	9.182306e-01	
1.620000e+01	162	8.673000e+02	6.992459e+02	8797	7.852190e+03	1.620000e+01	162	9.102573e-01	9.182306e-01	
1.630000e+01	163	3.664000e+02	6.992459e+02	6589	7.852190e+03	1.630000e+01	163	9.473215e-01	9.182306e-01	
1.640000e+01	164	1242	6.992459e+02	8546	7.852190e+03	1.640000e+01	164	8.731099e-01	9.182306e-01	
1.650000e+01	165	6.775000e+02	6.992459e+02	9938	7.852190e+03	1.650000e+01	165	9.361782e-01	9.182306e-01	
1.660000e+01	166	1.078000e+02	6.992459e+02	6434	7.852190e+03	1.660000e+01	166	9.835214e-01	9.182306e-01	
1.670000e+01	167	3.898000e+02	6.992459e+02	6395	7.852190e+03	1.670000e+01	167	9.425480e-01	9.182306e-01	
1.680000e+01	168	8.792000e+02	6.992459e+02	7528	7.852190e+03	1.680000e+01	168	8.954230e-01	9.182306e-01	
1.690000e+01	169	1217	6.992459e+02	8159	7.852190e+03	1.690000e+01	169	8.702005e-01	9.182306e-01	
17	170	-404	6.992459e+02	7169	7.852190e+03	17	170	1.059719e+00	9.182306e-01	
