time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
1.017500e-01	1	9.967026e+03	9.681417e+03	8.653766e+02	1.024752e+03	5.091865e+01	5.289865e+01	2.035000e-01	2	-6.257924e+01	1.224976e+01	7.963501e+03	8.116522e+03	4.944996e+02	3.142081e+02	1.017500e-01	1	1.454767e-01	1.720050e-01	1.017500e-01	1	4.275829e-01	4.317745e-01	
3.052500e-01	3	9.111026e+03	9.681417e+03	7.006366e+02	1.024752e+03	4.691865e+01	5.289865e+01	4.070000e-01	4	-1.835792e+02	1.224976e+01	8.096501e+03	8.116522e+03	1.594996e+02	3.142081e+02	3.052500e-01	3	1.310272e-01	1.720050e-01	3.052500e-01	3	3.977503e-01	4.317745e-01	
5.087500e-01	5	8.396026e+03	9.681417e+03	9.843066e+02	1.024752e+03	7.291865e+01	5.289865e+01	6.105000e-01	6	-4.457924e+01	1.224976e+01	7.115501e+03	8.116522e+03	3.514996e+02	3.142081e+02	5.087500e-01	5	1.869074e-01	1.720050e-01	5.087500e-01	5	4.253249e-01	4.317745e-01	
7.122500e-01	7	9.517026e+03	9.681417e+03	7.722366e+02	1.024752e+03	5.291865e+01	5.289865e+01	8.140000e-01	8	-1.195792e+02	1.224976e+01	8.745501e+03	8.116522e+03	2.464996e+02	3.142081e+02	7.122500e-01	7	1.372641e-01	1.720050e-01	7.122500e-01	7	3.914658e-01	4.317745e-01	
9.157500e-01	9	9.378026e+03	9.681417e+03	1.232147e+03	1.024752e+03	-6.908135e+01	5.289865e+01	1.017500e+00	10	-5.657924e+01	1.224976e+01	7.636501e+03	8.116522e+03	2.604996e+02	3.142081e+02	9.157500e-01	9	2.048477e-01	1.720050e-01	9.157500e-01	9	4.406084e-01	4.317745e-01	
1.119250e+00	11	8.519026e+03	9.681417e+03	1.463997e+03	1.024752e+03	1.709186e+02	5.289865e+01	1.221000e+00	12	4.642076e+01	1.224976e+01	7.600501e+03	8.116522e+03	4.414996e+02	3.142081e+02	1.119250e+00	11	2.520352e-01	1.720050e-01	1.119250e+00	11	4.331876e-01	4.317745e-01	
1.322750e+00	13	8.227026e+03	9.681417e+03	9.885766e+02	1.024752e+03	6.291865e+01	5.289865e+01	1.424500e+00	14	3.642076e+01	1.224976e+01	7.493501e+03	8.116522e+03	4.754996e+02	3.142081e+02	1.322750e+00	13	1.906844e-01	1.720050e-01	1.322750e+00	13	4.089302e-01	4.317745e-01	
1.526250e+00	15	9.204026e+03	9.681417e+03	7.767466e+02	1.024752e+03	4.291865e+01	5.289865e+01	1.628000e+00	16	-2.025792e+02	1.224976e+01	6.865501e+03	8.116522e+03	3.214996e+02	3.142081e+02	1.526250e+00	15	1.419804e-01	1.720050e-01	1.526250e+00	15	4.434716e-01	4.317745e-01	
1.729750e+00	17	9.089026e+03	9.681417e+03	1.199137e+03	1.024752e+03	-1.190814e+02	5.289865e+01	1.831500e+00	18	1.904208e+02	1.224976e+01	7.898501e+03	8.116522e+03	1.374996e+02	3.142081e+02	1.729750e+00	17	2.055238e-01	1.720050e-01	1.729750e+00	17	4.248542e-01	4.317745e-01	
1.933250e+00	19	9.117026e+03	9.681417e+03	1.919237e+03	1.024752e+03	1.299186e+02	5.289865e+01	2.035000e+00	20	4.742076e+01	1.224976e+01	8.095501e+03	8.116522e+03	8.749963e+01	3.142081e+02	1.933250e+00	19	2.921693e-01	1.720050e-01	1.933250e+00	19	4.479495e-01	4.317745e-01	
