coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
1.000000e-01	146	118	130
2.000000e-01	113	144	119
3.000000e-01	135	114	134
4.000000e-01	113	140	118
5.000000e-01	149	116	130
6.000000e-01	113	140	121
7.000000e-01	146	115	128
8.000000e-01	113	147	121
9.000000e-01	155	116	132
1	113	145	118
1.100000e+00	138	115	123
1.200000e+00	113	141	115
1.300000e+00	148	119	122
1.400000e+00	113	146	118
1.500000e+00	139	115	124
1.600000e+00	113	136	118
1.700000e+00	142	115	134
1.800000e+00	113	139	118
1.900000e+00	140	116	132
2	113	137	117
2.100000e+00	137	119	130
2.200000e+00	113	131	115
2.300000e+00	136	114	128
2.400000e+00	113	147	118
2.500000e+00	143	115	130
2.600000e+00	113	143	115
2.700000e+00	143	115	129
2.800000e+00	113	139	118
2.900000e+00	149	116	129
3	113	137	122
3.100000e+00	153	115	129
3.200000e+00	113	146	117
3.300000e+00	154	115	130
3.400000e+00	113	156	115
3.500000e+00	140	118	125
3.600000e+00	113	134	120
3.700000e+00	146	114	129
3.800000e+00	113	133	118
3.900000e+00	157	115	122
4	113	135	118
4.100000e+00	148	115	127
4.200000e+00	113	147	117
4.300000e+00	148	114	125
4.400000e+00	113	142	117
4.500000e+00	134	119	129
4.600000e+00	113	138	116
4.700000e+00	151	114	125
4.800000e+00	113	136	115
4.900000e+00	141	116	126
5	113	140	118
5.100000e+00	148	115	127
5.200000e+00	113	142	117
5.300000e+00	143	115	134
5.400000e+00	113	140	118
5.500000e+00	146	117	131
5.600000e+00	113	143	115
5.700000e+00	141	114	132
5.800000e+00	113	141	118
5.900000e+00	142	116	132
6	113	140	119
6.100000e+00	151	114	124
6.200000e+00	113	141	117
6.300000e+00	143	113	123
6.400000e+00	113	142	113
6.500000e+00	143	115	129
6.600000e+00	113	140	119
6.700000e+00	154	113	125
6.800000e+00	113	142	118
6.900000e+00	142	118	129
7	113	146	114
7.100000e+00	139	115	129
7.200000e+00	113	135	118
7.300000e+00	159	116	131
7.400000e+00	113	149	117
7.500000e+00	142	113	124
7.600000e+00	113	134	119
7.700000e+00	150	115	134
7.800000e+00	113	143	118
7.900000e+00	151	117	122
8	113	134	115
8.100000e+00	145	113	133
8.200000e+00	113	150	117
8.300000e+00	149	114	134
8.400000e+00	113	150	113
8.500000e+00	146	114	128
8.600000e+00	113	141	117
8.700000e+00	143	116	131
8.800000e+00	113	135	121
8.900000e+00	143	114	124
9	113	145	115
9.100000e+00	148	115	128
9.200000e+00	113	138	118
9.300000e+00	140	116	128
9.400000e+00	113	132	122
9.500000e+00	159	117	125
9.600000e+00	113	147	118
9.700000e+00	143	116	126
9.800000e+00	113	135	116
9.900000e+00	140	115	132
10	113	132	117
1.010000e+01	150	117	127
1.020000e+01	113	141	114
1.030000e+01	143	116	127
1.040000e+01	113	134	116
1.050000e+01	148	115	123
1.060000e+01	113	144	117
1.070000e+01	136	116	129
1.080000e+01	113	142	117
1.090000e+01	143	116	129
11	113	142	117
1.110000e+01	138	115	134
1.120000e+01	113	137	121
1.130000e+01	135	116	125
1.140000e+01	113	153	116
1.150000e+01	142	117	124
1.160000e+01	113	142	114
1.170000e+01	145	114	132
1.180000e+01	113	142	117
1.190000e+01	145	115	125
12	113	150	118
1.210000e+01	148	115	126
1.220000e+01	113	136	115
1.230000e+01	135	117	127
1.240000e+01	113	132	118
1.250000e+01	146	115	127
1.260000e+01	113	142	116
1.270000e+01	137	118	130
1.280000e+01	113	138	118
1.290000e+01	155	113	121
13	113	148	121
1.310000e+01	152	116	130
1.320000e+01	113	143	119
1.330000e+01	137	115	125
1.340000e+01	113	141	115
1.350000e+01	148	116	130
1.360000e+01	113	141	118
1.370000e+01	135	113	130
1.380000e+01	113	131	119
1.390000e+01	140	116	130
14	113	142	116
1.410000e+01	143	116	125
1.420000e+01	113	142	119
1.430000e+01	142	115	130
1.440000e+01	113	146	117
1.450000e+01	141	115	123
1.460000e+01	113	136	118
1.470000e+01	135	115	127
1.480000e+01	113	140	119
1.490000e+01	146	117	120
15	113	138	114
1.510000e+01	143	114	127
1.520000e+01	113	150	121
1.530000e+01	146	113	124
