timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2301	1.781930e+03	4.364341e-01	4.364341e-01
2.000000e-01	2	1336	4.716480e+03	7.792640e-01	7.792640e-01
3.000000e-01	3	2293	1.569490e+03	4.063415e-01	4.063415e-01
4.000000e-01	4	1065	4.650450e+03	8.136630e-01	8.136630e-01
5.000000e-01	5	2239	1.271270e+03	3.621573e-01	3.621573e-01
6.000000e-01	6	1093	5.104490e+03	8.236383e-01	8.236383e-01
7.000000e-01	7	2018	1.451740e+03	4.184002e-01	4.184002e-01
8.000000e-01	8	1251	4.818430e+03	7.938851e-01	7.938851e-01
9.000000e-01	9	2206	1.338580e+03	3.776414e-01	3.776414e-01
1	10	1098	4.673140e+03	8.097430e-01	8.097430e-01
1.100000e+00	11	2576	1.469680e+03	3.632714e-01	3.632714e-01
1.200000e+00	12	1020	3.815600e+03	7.890644e-01	7.890644e-01
1.300000e+00	13	2185	1.686050e+03	4.355537e-01	4.355537e-01
1.400000e+00	14	1237	4.881410e+03	7.978233e-01	7.978233e-01
1.500000e+00	15	4005	1.422650e+03	2.621116e-01	2.621116e-01
1.600000e+00	16	1148	4.774640e+03	8.061675e-01	8.061675e-01
1.700000e+00	17	2370	1.295100e+03	3.533601e-01	3.533601e-01
1.800000e+00	18	1252	4.489360e+03	7.819332e-01	7.819332e-01
1.900000e+00	19	2402	1.335860e+03	3.573863e-01	3.573863e-01
2	20	1249	4.409570e+03	7.792729e-01	7.792729e-01
