timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	6019	1.045670e+03	1224	1.480140e-01	1.480140e-01	1.689907e-01	1.689907e-01
2.000000e-01	2	1093	6.814490e+03	1112	8.617766e-01	8.617766e-01	5.043084e-01	5.043084e-01
3.000000e-01	3	5573	9.338900e+02	1048	1.435232e-01	1.435232e-01	1.582842e-01	1.582842e-01
4.000000e-01	4	1153	6.992290e+03	1417	8.584458e-01	8.584458e-01	5.513619e-01	5.513619e-01
5.000000e-01	5	5104	1.028720e+03	1044	1.677429e-01	1.677429e-01	1.698113e-01	1.698113e-01
6.000000e-01	6	1300	5667	1393	8.134061e-01	8.134061e-01	5.172670e-01	5.172670e-01
7.000000e-01	7	5813	1.100090e+03	1097	1.591314e-01	1.591314e-01	1.587554e-01	1.587554e-01
8.000000e-01	8	1330	5.790900e+03	1222	8.132259e-01	8.132259e-01	4.788401e-01	4.788401e-01
9.000000e-01	9	5330	1.620900e+03	1051	2.331928e-01	2.331928e-01	1.647077e-01	1.647077e-01
1	10	1240	6.072200e+03	1177	8.304204e-01	8.304204e-01	4.869673e-01	4.869673e-01
1.100000e+00	11	4314	1.112020e+03	1082	2.049421e-01	2.049421e-01	2.005189e-01	2.005189e-01
1.200000e+00	12	1365	5.800450e+03	1109	8.095025e-01	8.095025e-01	4.482619e-01	4.482619e-01
1.300000e+00	13	4681	1.457330e+03	1107	2.374147e-01	2.374147e-01	1.912578e-01	1.912578e-01
1.400000e+00	14	1111	7.196230e+03	1137	8.662611e-01	8.662611e-01	5.057829e-01	5.057829e-01
1.500000e+00	15	4601	1.332930e+03	1111	2.246285e-01	2.246285e-01	1.945028e-01	1.945028e-01
1.600000e+00	16	1156	6.777080e+03	1166	8.542811e-01	8.542811e-01	5.021533e-01	5.021533e-01
1.700000e+00	17	4827	1.163110e+03	1095	1.941717e-01	1.941717e-01	1.849037e-01	1.849037e-01
1.800000e+00	18	1253	6.181290e+03	1170	8.314567e-01	8.314567e-01	4.828725e-01	4.828725e-01
1.900000e+00	19	4849	1.256570e+03	1128	2.058072e-01	2.058072e-01	1.887234e-01	1.887234e-01
2	20	1145	5.631850e+03	1089	8.310424e-01	8.310424e-01	4.874664e-01	4.874664e-01
