timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	6599	1.637070e+03	932	2.282291e-01	2.282291e-01	8.558111e-02	9.455853e-02	NaN	NaN	5.208110e-01	5.668243e-01
2.000000e-01	2	1066	7.076380e+03	1359	NaN	NaN	NaN	NaN	1.611071e-01	1.768311e-01	NaN	NaN
3.000000e-01	3	6493	1.494490e+03	1040	2.253098e-01	2.253098e-01	9.049841e-02	9.455853e-02	NaN	NaN	5.987463e-01	5.668243e-01
4.000000e-01	4	1031	4.787830e+03	1262	NaN	NaN	NaN	NaN	2.086009e-01	1.768311e-01	NaN	NaN
5.000000e-01	5	7574	1.450820e+03	889	1.948713e-01	1.948713e-01	6.269671e-02	9.455853e-02	NaN	NaN	5.927021e-01	5.668243e-01
6.000000e-01	6	1162	5.391660e+03	1421	NaN	NaN	NaN	NaN	2.085823e-01	1.768311e-01	NaN	NaN
7.000000e-01	7	6443	1.726990e+03	1139	2.428831e-01	2.428831e-01	1.103379e-01	9.455853e-02	NaN	NaN	5.812383e-01	5.668243e-01
8.000000e-01	8	1160	5.603800e+03	1103	NaN	NaN	NaN	NaN	1.644600e-01	1.768311e-01	NaN	NaN
9.000000e-01	9	6726	1.317180e+03	939	2.007424e-01	2.007424e-01	7.772939e-02	9.455853e-02	NaN	NaN	5.928260e-01	5.668243e-01
1	10	1296	4.810280e+03	1359	NaN	NaN	NaN	NaN	2.202850e-01	1.768311e-01	NaN	NaN
1.100000e+00	11	5956	1.790080e+03	994	2.711482e-01	2.711482e-01	8.710830e-02	9.455853e-02	NaN	NaN	5.797781e-01	5.668243e-01
1.200000e+00	12	1003	5.117790e+03	1217	NaN	NaN	NaN	NaN	1.921137e-01	1.768311e-01	NaN	NaN
1.300000e+00	13	6213	1.582090e+03	1269	2.299339e-01	2.299339e-01	1.381549e-01	9.455853e-02	NaN	NaN	5.551572e-01	5.668243e-01
1.400000e+00	14	1286	6.193980e+03	1069	NaN	NaN	NaN	NaN	1.471848e-01	1.768311e-01	NaN	NaN
1.500000e+00	15	6178	1.297540e+03	951	1.944440e-01	1.944440e-01	1.091953e-01	9.455853e-02	NaN	NaN	5.118133e-01	5.668243e-01
1.600000e+00	16	1035	6.993550e+03	1044	NaN	NaN	NaN	NaN	1.298903e-01	1.768311e-01	NaN	NaN
1.700000e+00	17	6128	1.353040e+03	976	2.102091e-01	2.102091e-01	1.022593e-01	9.455853e-02	NaN	NaN	5.315971e-01	5.668243e-01
1.800000e+00	18	990	6.181700e+03	1270	NaN	NaN	NaN	NaN	1.704309e-01	1.768311e-01	NaN	NaN
1.900000e+00	19	7325	1.624250e+03	977	2.099648e-01	2.099648e-01	8.202399e-02	9.455853e-02	NaN	NaN	6.035739e-01	5.668243e-01
2	20	1178	5.439540e+03	1080	NaN	NaN	NaN	NaN	1.656559e-01	1.768311e-01	NaN	NaN
