timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	7188	2.385840e+03	1167	2.958236e-01	2.958236e-01	6.905306e-02	6.905306e-02	NaN	NaN	6.265116e-01	6.566792e-01	9.007870e-01	8.746902e-01	NaN	NaN
2.000000e-01	2	1028	5.059040e+03	1344	NaN	NaN	NaN	NaN	2.099003e-01	2.099003e-01	NaN	NaN	NaN	NaN	8.440557e-01	7.866696e-01
3.000000e-01	3	6927	2.533110e+03	1183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1132	4.207760e+03	1114	8.504265e-01	8.504265e-01	-6.340736e+01	6.905306e-02	NaN	NaN	6.509842e-01	6.566792e-01	8.625992e-01	8.746902e-01	NaN	NaN
5.000000e-01	5	7313	2.262090e+03	1198	NaN	NaN	NaN	NaN	3.462338e-01	3.462338e-01	NaN	NaN	NaN	NaN	7.709493e-01	7.866696e-01
6.000000e-01	6	1232	4.997760e+03	1028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	7875	2.059750e+03	1095	2.575634e-01	2.575634e-01	5.095132e-02	5.095132e-02	NaN	NaN	6.989392e-01	6.566792e-01	9.084152e-01	8.746902e-01	NaN	NaN
8.000000e-01	8	1115	3.581950e+03	1169	NaN	NaN	NaN	NaN	2.460561e-01	2.460561e-01	NaN	NaN	NaN	NaN	8.103344e-01	7.866696e-01
9.000000e-01	9	7563	2.323590e+03	1112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1219	3.961670e+03	1237	8.247922e-01	8.247922e-01	-7.947155e-01	5.095132e-02	NaN	NaN	6.340243e-01	6.566792e-01	8.418085e-01	8.746902e-01	NaN	NaN
1.100000e+00	11	8465	2.557450e+03	1147	NaN	NaN	NaN	NaN	3.096276e-01	3.096276e-01	NaN	NaN	NaN	NaN	7.544013e-01	7.866696e-01
1.200000e+00	12	994	5.136420e+03	1206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	6918	2.555740e+03	1212	3.297554e-01	3.297554e-01	5.000397e-02	5.000397e-02	NaN	NaN	6.981301e-01	6.566792e-01	8.960232e-01	8.746902e-01	NaN	NaN
1.400000e+00	14	1293	3.469490e+03	1151	NaN	NaN	NaN	NaN	2.491078e-01	2.491078e-01	NaN	NaN	NaN	NaN	7.884136e-01	7.866696e-01
1.500000e+00	15	7828	2.962040e+03	1240	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1143	3.738990e+03	1032	8.252146e-01	8.252146e-01	-1.208515e+00	5.000397e-02	NaN	NaN	6.314857e-01	6.566792e-01	8.385082e-01	8.746902e-01	NaN	NaN
1.700000e+00	17	7297	2.391210e+03	1060	NaN	NaN	NaN	NaN	3.071387e-01	3.071387e-01	NaN	NaN	NaN	NaN	7.518632e-01	7.866696e-01
1.800000e+00	18	1097	3.913210e+03	1139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
