coordinates 	98.31	117.23	226.31	117.23
time(s)	frame	Idon noise(photons)	Iacc noise(photons)	Idon ideal(photons)	Iacc ideal(photons)	FRET	FRET ideal	state sequence
1.000000e-01	1	7.368421e+00	3.052632e+01	9.815116e+00	2.944535e+01	8.055556e-01	7.500000e-01	4
2.000000e-01	2	1.052632e+01	2.105263e+01	9.815116e+00	2.944535e+01	6.666667e-01	7.500000e-01	4
3.000000e-01	3	1.473684e+01	3.263158e+01	9.815116e+00	2.944535e+01	6.888889e-01	7.500000e-01	4
4.000000e-01	4	4.210526e+00	4.210526e+01	9.815116e+00	2.944535e+01	9.090909e-01	7.500000e-01	4
5.000000e-01	5	1.368421e+01	3.263158e+01	9.815116e+00	2.944535e+01	7.045455e-01	7.500000e-01	4
6.000000e-01	6	3.263158e+01	2.315789e+01	9.815116e+00	2.944535e+01	4.150943e-01	7.500000e-01	4
7.000000e-01	7	8.421053e+00	3.368421e+01	9.815116e+00	2.944535e+01	8.000000e-01	7.500000e-01	4
8.000000e-01	8	2.842105e+01	3.263158e+01	9.815116e+00	2.944535e+01	5.344828e-01	7.500000e-01	4
9.000000e-01	9	1.368421e+01	2.421053e+01	9.815116e+00	2.944535e+01	6.388889e-01	7.500000e-01	4
1	10	2.210526e+01	3.263158e+01	9.815116e+00	2.944535e+01	5.961538e-01	7.500000e-01	4
1.100000e+00	11	9.473684e+00	3.894737e+01	9.815116e+00	2.944535e+01	8.043478e-01	7.500000e-01	4
1.200000e+00	12	1.894737e+01	2.842105e+01	9.815116e+00	2.944535e+01	6.000000e-01	7.500000e-01	4
1.300000e+00	13	2.315789e+01	4.210526e+01	9.815116e+00	2.944535e+01	6.451613e-01	7.500000e-01	4
1.400000e+00	14	20	4.105263e+01	9.815116e+00	2.944535e+01	6.724138e-01	7.500000e-01	4
1.500000e+00	15	1.157895e+01	2.736842e+01	9.815116e+00	2.944535e+01	7.027027e-01	7.500000e-01	4
1.600000e+00	16	7.368421e+00	3.052632e+01	9.815116e+00	2.944535e+01	8.055556e-01	7.500000e-01	4
1.700000e+00	17	1.052632e+01	3.473684e+01	9.815116e+00	2.944535e+01	7.674419e-01	7.500000e-01	4
1.800000e+00	18	1.157895e+01	2.315789e+01	9.815116e+00	2.944535e+01	6.666667e-01	7.500000e-01	4
1.900000e+00	19	1.368421e+01	40	9.815116e+00	2.944535e+01	7.450980e-01	7.500000e-01	4
2	20	1.684211e+01	20	9.815116e+00	2.944535e+01	5.428571e-01	7.500000e-01	4
2.100000e+00	21	8.421053e+00	40	9.815116e+00	2.944535e+01	8.260870e-01	7.500000e-01	4
2.200000e+00	22	1.157895e+01	3.052632e+01	9.815116e+00	2.944535e+01	7.250000e-01	7.500000e-01	4
2.300000e+00	23	1.263158e+01	3.578947e+01	9.815116e+00	2.944535e+01	7.391304e-01	7.500000e-01	4
2.400000e+00	24	7.368421e+00	3.684211e+01	9.815116e+00	2.944535e+01	8.333333e-01	7.500000e-01	4
2.500000e+00	25	1.368421e+01	4.947368e+01	9.815116e+00	2.944535e+01	7.833333e-01	7.500000e-01	4
2.600000e+00	26	20	5.578947e+01	9.815116e+00	2.944535e+01	7.361111e-01	7.500000e-01	4
2.700000e+00	27	1.052632e+01	2.210526e+01	9.815116e+00	2.944535e+01	6.774194e-01	7.500000e-01	4
2.800000e+00	28	1.263158e+01	3.263158e+01	9.815116e+00	2.944535e+01	7.209302e-01	7.500000e-01	4
2.900000e+00	29	1.157895e+01	2.210526e+01	9.815116e+00	2.944535e+01	6.562500e-01	7.500000e-01	4
3	30	1.789474e+01	2.736842e+01	9.815116e+00	2.944535e+01	6.046512e-01	7.500000e-01	4
3.100000e+00	31	1.368421e+01	3.368421e+01	9.815116e+00	2.944535e+01	7.111111e-01	7.500000e-01	4
3.200000e+00	32	1.368421e+01	2.736842e+01	9.815116e+00	2.944535e+01	6.666667e-01	7.500000e-01	4
3.300000e+00	33	9.473684e+00	3.263158e+01	9.815116e+00	2.944535e+01	7.750000e-01	7.500000e-01	4
3.400000e+00	34	1.263158e+01	3.368421e+01	9.815116e+00	2.944535e+01	7.272727e-01	7.500000e-01	4
3.500000e+00	35	1.684211e+01	3.263158e+01	9.815116e+00	2.944535e+01	6.595745e-01	7.500000e-01	4
3.600000e+00	36	1.368421e+01	2.736842e+01	9.815116e+00	2.944535e+01	6.666667e-01	7.500000e-01	4
3.700000e+00	37	1.578947e+01	3.368421e+01	9.815116e+00	2.944535e+01	6.808511e-01	7.500000e-01	4
3.800000e+00	38	1.263158e+01	4.842105e+01	9.815116e+00	2.944535e+01	7.931034e-01	7.500000e-01	4
3.900000e+00	39	8.421053e+00	3.368421e+01	9.815116e+00	2.944535e+01	8.000000e-01	7.500000e-01	4
4	40	1.157895e+01	40	9.815116e+00	2.944535e+01	7.755102e-01	7.500000e-01	4
4.100000e+00	41	5.263158e+00	3.263158e+01	9.815116e+00	2.944535e+01	8.611111e-01	7.500000e-01	4
4.200000e+00	42	1.789474e+01	2.526316e+01	9.815116e+00	2.944535e+01	5.853659e-01	7.500000e-01	4
4.300000e+00	43	1.052632e+01	3.894737e+01	9.815116e+00	2.944535e+01	7.872340e-01	7.500000e-01	4
4.400000e+00	44	1.263158e+01	4.105263e+01	9.815116e+00	2.944535e+01	7.647059e-01	7.500000e-01	4
4.500000e+00	45	1.368421e+01	3.368421e+01	9.815116e+00	2.944535e+01	7.111111e-01	7.500000e-01	4
4.600000e+00	46	1.157895e+01	1.578947e+01	9.815116e+00	2.944535e+01	5.769231e-01	7.500000e-01	4
4.700000e+00	47	1.894737e+01	2.631579e+01	9.815116e+00	2.944535e+01	5.813953e-01	7.500000e-01	4
4.800000e+00	48	1.684211e+01	3.578947e+01	9.815116e+00	2.944535e+01	6.800000e-01	7.500000e-01	4
4.900000e+00	49	1.473684e+01	2.947368e+01	9.815116e+00	2.944535e+01	6.666667e-01	7.500000e-01	4
5	50	1.157895e+01	3.473684e+01	9.815116e+00	2.944535e+01	7.500000e-01	7.500000e-01	4
5.100000e+00	51	9.473684e+00	2.631579e+01	9.815116e+00	2.944535e+01	7.352941e-01	7.500000e-01	4
5.200000e+00	52	1.894737e+01	3.368421e+01	9.815116e+00	2.944535e+01	6.400000e-01	7.500000e-01	4
5.300000e+00	53	1.368421e+01	2.315789e+01	9.815116e+00	2.944535e+01	6.285714e-01	7.500000e-01	4
5.400000e+00	54	9.473684e+00	3.157895e+01	9.815116e+00	2.944535e+01	7.692308e-01	7.500000e-01	4
