timeat605nm	I_1at605nm
1.000000e-01	167
3.000000e-01	173
5.000000e-01	174
7.000000e-01	169
9.000000e-01	177
1.100000e+00	167
1.300000e+00	170
1.500000e+00	169
1.700000e+00	164
1.900000e+00	177
2.100000e+00	163
2.300000e+00	168
2.500000e+00	188
2.700000e+00	170
2.900000e+00	158
3.100000e+00	172
3.300000e+00	172
3.500000e+00	172
3.700000e+00	176
3.900000e+00	162
4.100000e+00	163
4.300000e+00	174
4.500000e+00	177
4.700000e+00	176
4.900000e+00	169
5.100000e+00	172
5.300000e+00	179
5.500000e+00	156
5.700000e+00	174
5.900000e+00	168
6.100000e+00	169
6.300000e+00	163
6.500000e+00	170
6.700000e+00	158
6.900000e+00	177
7.100000e+00	175
7.300000e+00	169
7.500000e+00	163
7.700000e+00	168
7.900000e+00	168
8.100000e+00	162
8.300000e+00	176
8.500000e+00	173
8.700000e+00	169
8.900000e+00	172
9.100000e+00	179
9.300000e+00	193
9.500000e+00	155
9.700000e+00	163
9.900000e+00	168
1.010000e+01	168
1.030000e+01	167
1.050000e+01	169
1.070000e+01	172
1.090000e+01	170
1.110000e+01	170
1.130000e+01	176
1.150000e+01	171
1.170000e+01	168
1.190000e+01	178
1.210000e+01	174
1.230000e+01	174
1.250000e+01	155
1.270000e+01	172
1.290000e+01	157
1.310000e+01	177
1.330000e+01	173
1.350000e+01	175
1.370000e+01	164
1.390000e+01	174
1.410000e+01	163
1.430000e+01	177
1.450000e+01	181
1.470000e+01	181
1.490000e+01	164
1.510000e+01	168
1.530000e+01	170
1.550000e+01	170
1.570000e+01	167
1.590000e+01	166
1.610000e+01	175
1.630000e+01	177
1.650000e+01	169
1.670000e+01	150
1.690000e+01	171
1.710000e+01	180
1.730000e+01	179
1.750000e+01	154
1.770000e+01	169
1.790000e+01	161
1.810000e+01	181
1.830000e+01	163
1.850000e+01	175
1.870000e+01	159
1.890000e+01	165
1.910000e+01	153
1.930000e+01	160
1.950000e+01	179
1.970000e+01	171
1.990000e+01	165
2.010000e+01	164
2.030000e+01	164
2.050000e+01	176
2.070000e+01	158
2.090000e+01	171
2.110000e+01	171
2.130000e+01	172
2.150000e+01	169
2.170000e+01	160
2.190000e+01	167
2.210000e+01	170
2.230000e+01	172
2.250000e+01	170
2.270000e+01	170
2.290000e+01	162
2.310000e+01	175
2.330000e+01	173
2.350000e+01	170
2.370000e+01	174
2.390000e+01	178
2.410000e+01	162
2.430000e+01	165
2.450000e+01	178
2.470000e+01	165
