coordinates:	49.3,41.0
timeat741nm	I_1at741nm
1.000000e-01	206
3.000000e-01	151
5.000000e-01	120
7.000000e-01	117
9.000000e-01	115
1.100000e+00	114
1.300000e+00	120
1.500000e+00	117
1.700000e+00	117
1.900000e+00	115
2.100000e+00	117
2.300000e+00	115
2.500000e+00	115
2.700000e+00	117
2.900000e+00	114
3.100000e+00	144
3.300000e+00	220
3.500000e+00	205
3.700000e+00	200
3.900000e+00	236
4.100000e+00	225
4.300000e+00	213
4.500000e+00	219
4.700000e+00	214
4.900000e+00	204
5.100000e+00	210
5.300000e+00	235
5.500000e+00	182
5.700000e+00	197
5.900000e+00	202
6.100000e+00	220
6.300000e+00	203
6.500000e+00	221
6.700000e+00	219
6.900000e+00	217
7.100000e+00	200
7.300000e+00	210
7.500000e+00	195
7.700000e+00	215
7.900000e+00	216
8.100000e+00	173
8.300000e+00	227
8.500000e+00	214
8.700000e+00	215
8.900000e+00	213
9.100000e+00	186
9.300000e+00	114
9.500000e+00	114
9.700000e+00	113
9.900000e+00	113
1.010000e+01	114
1.030000e+01	113
1.050000e+01	115
1.070000e+01	113
1.090000e+01	114
1.110000e+01	117
1.130000e+01	114
1.150000e+01	115
1.170000e+01	115
1.190000e+01	115
1.210000e+01	115
1.230000e+01	114
1.250000e+01	113
1.270000e+01	116
1.290000e+01	113
1.310000e+01	115
1.330000e+01	115
1.350000e+01	118
1.370000e+01	116
1.390000e+01	113
1.410000e+01	114
1.430000e+01	113
1.450000e+01	113
1.470000e+01	113
1.490000e+01	115
1.510000e+01	113
1.530000e+01	114
1.550000e+01	115
1.570000e+01	114
1.590000e+01	114
1.610000e+01	113
1.630000e+01	114
1.650000e+01	115
1.670000e+01	115
1.690000e+01	117
1.710000e+01	114
1.730000e+01	115
1.750000e+01	113
1.770000e+01	113
1.790000e+01	114
1.810000e+01	113
1.830000e+01	113
1.850000e+01	114
1.870000e+01	114
1.890000e+01	114
1.910000e+01	117
1.930000e+01	113
1.950000e+01	115
1.970000e+01	116
1.990000e+01	114
