coordinates:	6.4,3.2
timeat129nm	I_1at129nm	timeat989nm	I_1at989nm
1.000000e-01	215	2.000000e-01	124
3.000000e-01	212	4.000000e-01	125
5.000000e-01	166	6.000000e-01	123
7.000000e-01	182	8.000000e-01	126
9.000000e-01	209	1	124
1.100000e+00	253	1.200000e+00	121
1.300000e+00	202	1.400000e+00	124
1.500000e+00	221	1.600000e+00	128
1.700000e+00	215	1.800000e+00	122
1.900000e+00	222	2	123
2.100000e+00	210	2.200000e+00	121
2.300000e+00	220	2.400000e+00	127
2.500000e+00	224	2.600000e+00	124
2.700000e+00	200	2.800000e+00	123
2.900000e+00	222	3	121
3.100000e+00	221	3.200000e+00	124
3.300000e+00	217	3.400000e+00	120
3.500000e+00	123	3.600000e+00	127
3.700000e+00	119	3.800000e+00	126
3.900000e+00	119	4	124
4.100000e+00	122	4.200000e+00	124
4.300000e+00	118	4.400000e+00	120
4.500000e+00	122	4.600000e+00	121
4.700000e+00	122	4.800000e+00	128
4.900000e+00	119	5	122
5.100000e+00	122	5.200000e+00	123
5.300000e+00	121	5.400000e+00	120
5.500000e+00	124	5.600000e+00	120
5.700000e+00	120	5.800000e+00	125
5.900000e+00	120	6	132
6.100000e+00	119	6.200000e+00	124
6.300000e+00	122	6.400000e+00	119
6.500000e+00	119	6.600000e+00	123
6.700000e+00	119	6.800000e+00	128
6.900000e+00	119	7	124
7.100000e+00	124	7.200000e+00	123
7.300000e+00	122	7.400000e+00	121
7.500000e+00	124	7.600000e+00	118
7.700000e+00	117	7.800000e+00	120
7.900000e+00	119	8	121
8.100000e+00	120	8.200000e+00	126
8.300000e+00	118	8.400000e+00	125
8.500000e+00	121	8.600000e+00	118
8.700000e+00	121	8.800000e+00	128
8.900000e+00	120	9	120
9.100000e+00	119	9.200000e+00	122
9.300000e+00	125	9.400000e+00	127
9.500000e+00	122	9.600000e+00	130
9.700000e+00	120	9.800000e+00	123
9.900000e+00	121	10	122
1.010000e+01	118	1.020000e+01	117
1.030000e+01	118	1.040000e+01	122
1.050000e+01	126	1.060000e+01	122
1.070000e+01	124	1.080000e+01	125
1.090000e+01	120	11	122
1.110000e+01	119	1.120000e+01	126
1.130000e+01	115	1.140000e+01	123
1.150000e+01	119	1.160000e+01	122
1.170000e+01	122	1.180000e+01	122
1.190000e+01	119	12	123
1.210000e+01	122	1.220000e+01	118
1.230000e+01	119	1.240000e+01	119
1.250000e+01	121	1.260000e+01	120
1.270000e+01	125	1.280000e+01	116
1.290000e+01	115	13	120
1.310000e+01	123	1.320000e+01	130
1.330000e+01	121	1.340000e+01	120
1.350000e+01	118	1.360000e+01	122
1.370000e+01	117	1.380000e+01	121
1.390000e+01	120	14	125
1.410000e+01	123	1.420000e+01	127
1.430000e+01	118	1.440000e+01	124
1.450000e+01	124	1.460000e+01	119
1.470000e+01	119	1.480000e+01	124
1.490000e+01	121	15	117
1.510000e+01	119	1.520000e+01	125
1.530000e+01	119	1.540000e+01	122
1.550000e+01	116	1.560000e+01	120
1.570000e+01	119	1.580000e+01	123
1.590000e+01	118	16	122
1.610000e+01	125	1.620000e+01	126
1.630000e+01	120	1.640000e+01	120
1.650000e+01	123	1.660000e+01	123
1.670000e+01	119	1.680000e+01	126
1.690000e+01	122	17	121
1.710000e+01	122	1.720000e+01	120
1.730000e+01	119	1.740000e+01	117
1.750000e+01	121	1.760000e+01	123
1.770000e+01	120	1.780000e+01	120
1.790000e+01	119	18	130
1.810000e+01	121	1.820000e+01	127
1.830000e+01	119	1.840000e+01	121
1.850000e+01	123	1.860000e+01	117
1.870000e+01	121	1.880000e+01	123
1.890000e+01	126	19	125
1.910000e+01	122	1.920000e+01	122
1.930000e+01	120	1.940000e+01	121
1.950000e+01	125	1.960000e+01	126
1.970000e+01	119	1.980000e+01	123
1.990000e+01	119	20	121
