timeat502nm	I_1at502nm	I_2at502nm
1.000000e-01	143	132
3.000000e-01	132	141
5.000000e-01	138	147
7.000000e-01	125	139
9.000000e-01	128	137
1.100000e+00	137	135
1.300000e+00	129	135
1.500000e+00	144	134
1.700000e+00	144	137
1.900000e+00	134	149
2.100000e+00	133	141
2.300000e+00	136	147
2.500000e+00	125	141
2.700000e+00	130	141
2.900000e+00	137	136
3.100000e+00	145	141
3.300000e+00	141	158
3.500000e+00	128	139
3.700000e+00	131	141
3.900000e+00	143	155
4.100000e+00	134	131
4.300000e+00	138	154
4.500000e+00	138	147
4.700000e+00	141	139
4.900000e+00	146	150
5.100000e+00	137	151
5.300000e+00	127	132
5.500000e+00	135	138
5.700000e+00	131	153
5.900000e+00	125	152
6.100000e+00	141	144
6.300000e+00	137	148
6.500000e+00	132	149
6.700000e+00	145	145
6.900000e+00	139	147
7.100000e+00	135	136
7.300000e+00	134	144
7.500000e+00	133	139
7.700000e+00	118	150
7.900000e+00	131	143
8.100000e+00	133	141
8.300000e+00	141	148
8.500000e+00	137	142
8.700000e+00	126	151
8.900000e+00	127	152
9.100000e+00	131	145
9.300000e+00	130	141
9.500000e+00	132	150
9.700000e+00	137	143
9.900000e+00	130	136
1.010000e+01	138	138
1.030000e+01	145	148
1.050000e+01	137	149
1.070000e+01	133	140
1.090000e+01	134	145
1.110000e+01	131	143
1.130000e+01	131	145
1.150000e+01	134	142
1.170000e+01	136	147
1.190000e+01	128	143
1.210000e+01	132	143
1.230000e+01	135	151
1.250000e+01	128	141
1.270000e+01	131	149
1.290000e+01	135	135
1.310000e+01	136	150
1.330000e+01	132	139
1.350000e+01	132	147
1.370000e+01	130	139
1.390000e+01	132	147
1.410000e+01	124	141
1.430000e+01	132	144
1.450000e+01	135	146
1.470000e+01	135	162
1.490000e+01	132	147
1.510000e+01	134	147
1.530000e+01	133	145
1.550000e+01	137	135
1.570000e+01	138	144
1.590000e+01	131	139
1.610000e+01	140	138
1.630000e+01	139	143
1.650000e+01	140	137
1.670000e+01	127	136
1.690000e+01	131	152
1.710000e+01	134	144
1.730000e+01	125	142
1.750000e+01	133	142
1.770000e+01	132	145
1.790000e+01	138	148
1.810000e+01	137	154
1.830000e+01	140	148
1.850000e+01	133	151
1.870000e+01	131	137
1.890000e+01	134	136
1.910000e+01	144	143
1.930000e+01	138	142
1.950000e+01	137	141
1.970000e+01	139	147
1.990000e+01	136	141
