coordinates:	25.5,23.2	25.5,23.2
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	186	149
3.000000e-01	187	185
5.000000e-01	219	156
7.000000e-01	204	149
9.000000e-01	231	145
1.100000e+00	229	151
1.300000e+00	215	153
1.500000e+00	234	158
1.700000e+00	211	156
1.900000e+00	238	148
2.100000e+00	206	169
2.300000e+00	202	149
2.500000e+00	218	158
2.700000e+00	184	149
2.900000e+00	122	133
3.100000e+00	246	125
3.300000e+00	209	160
3.500000e+00	211	162
3.700000e+00	208	156
3.900000e+00	208	143
4.100000e+00	123	130
4.300000e+00	124	139
4.500000e+00	121	125
4.700000e+00	125	120
4.900000e+00	124	126
5.100000e+00	123	120
5.300000e+00	125	120
5.500000e+00	127	120
5.700000e+00	120	118
5.900000e+00	119	117
6.100000e+00	115	120
6.300000e+00	124	122
6.500000e+00	120	116
6.700000e+00	121	120
6.900000e+00	120	124
7.100000e+00	122	117
7.300000e+00	120	120
7.500000e+00	121	120
7.700000e+00	117	118
7.900000e+00	123	118
8.100000e+00	118	119
8.300000e+00	120	121
8.500000e+00	119	119
8.700000e+00	124	122
8.900000e+00	122	124
9.100000e+00	126	117
9.300000e+00	132	123
9.500000e+00	119	119
9.700000e+00	118	124
9.900000e+00	123	122
1.010000e+01	123	119
1.030000e+01	121	120
1.050000e+01	130	119
1.070000e+01	118	119
1.090000e+01	123	123
1.110000e+01	120	115
1.130000e+01	116	119
1.150000e+01	124	120
1.170000e+01	126	116
1.190000e+01	129	121
1.210000e+01	129	118
1.230000e+01	117	120
1.250000e+01	119	120
1.270000e+01	119	118
1.290000e+01	127	120
1.310000e+01	120	120
1.330000e+01	126	120
1.350000e+01	120	120
1.370000e+01	122	121
1.390000e+01	118	119
1.410000e+01	123	123
1.430000e+01	121	119
1.450000e+01	116	120
1.470000e+01	125	117
1.490000e+01	125	120
1.510000e+01	119	121
1.530000e+01	121	117
1.550000e+01	131	124
1.570000e+01	119	121
1.590000e+01	120	122
1.610000e+01	119	123
1.630000e+01	123	121
1.650000e+01	121	120
1.670000e+01	124	117
1.690000e+01	125	122
1.710000e+01	127	115
1.730000e+01	122	117
1.750000e+01	124	121
1.770000e+01	120	118
1.790000e+01	119	125
1.810000e+01	118	127
1.830000e+01	121	119
1.850000e+01	125	123
1.870000e+01	125	125
1.890000e+01	120	122
1.910000e+01	123	120
1.930000e+01	122	120
1.950000e+01	121	124
1.970000e+01	120	120
1.990000e+01	117	121
