coordinates:	30.3,80.9	80.3,80.9
timeat145nm	I_1at145nm	I_2at145nm
1.000000e-01	165	117
2.000000e-01	113	130
3.000000e-01	168	123
4.000000e-01	113	134
5.000000e-01	187	120
6.000000e-01	114	141
7.000000e-01	157	116
8.000000e-01	113	137
9.000000e-01	172	115
1	113	138
1.100000e+00	162	114
1.200000e+00	114	138
1.300000e+00	177	115
1.400000e+00	113	142
1.500000e+00	182	114
1.600000e+00	113	143
1.700000e+00	186	114
1.800000e+00	113	129
1.900000e+00	175	116
2	113	127
2.100000e+00	173	120
2.200000e+00	113	139
2.300000e+00	181	119
2.400000e+00	114	134
2.500000e+00	164	117
2.600000e+00	113	138
2.700000e+00	179	118
2.800000e+00	114	140
2.900000e+00	149	118
3	114	139
3.100000e+00	178	120
3.200000e+00	114	133
3.300000e+00	156	119
3.400000e+00	113	148
3.500000e+00	163	115
3.600000e+00	113	130
3.700000e+00	172	119
3.800000e+00	114	137
3.900000e+00	189	117
4	113	138
4.100000e+00	156	120
4.200000e+00	114	135
4.300000e+00	166	116
4.400000e+00	113	138
4.500000e+00	160	118
4.600000e+00	114	134
4.700000e+00	186	115
4.800000e+00	113	139
4.900000e+00	160	120
5	115	148
5.100000e+00	167	114
5.200000e+00	113	140
5.300000e+00	167	121
5.400000e+00	113	139
5.500000e+00	185	115
5.600000e+00	113	139
5.700000e+00	171	117
5.800000e+00	113	138
5.900000e+00	164	115
6	114	134
6.100000e+00	167	116
6.200000e+00	115	133
6.300000e+00	180	115
6.400000e+00	115	143
6.500000e+00	163	115
6.600000e+00	114	140
6.700000e+00	179	117
6.800000e+00	113	135
6.900000e+00	157	116
7	113	128
7.100000e+00	163	114
7.200000e+00	113	131
7.300000e+00	163	117
7.400000e+00	114	138
7.500000e+00	170	116
7.600000e+00	113	137
7.700000e+00	170	116
7.800000e+00	113	135
7.900000e+00	179	119
8	113	131
8.100000e+00	188	118
8.200000e+00	113	128
8.300000e+00	165	119
8.400000e+00	113	141
8.500000e+00	166	119
8.600000e+00	113	137
8.700000e+00	157	115
8.800000e+00	113	143
8.900000e+00	162	114
9	113	136
9.100000e+00	166	116
9.200000e+00	115	136
9.300000e+00	164	115
9.400000e+00	114	136
9.500000e+00	167	115
9.600000e+00	114	136
9.700000e+00	162	117
9.800000e+00	114	141
9.900000e+00	171	113
10	115	135
