coordinates:	47.4,37.3	97.4,37.3
timeat466nm	I_1at466nm	I_2at466nm	timeat776nm	I_1at776nm	I_2at776nm
1.000000e-01	148	149	2.000000e-01	114	151
3.000000e-01	140	134	4.000000e-01	113	144
5.000000e-01	144	143	6.000000e-01	114	140
7.000000e-01	136	147	8.000000e-01	113	155
9.000000e-01	148	135	1	114	143
1.100000e+00	150	136	1.200000e+00	113	149
1.300000e+00	137	131	1.400000e+00	113	146
1.500000e+00	137	137	1.600000e+00	114	160
1.700000e+00	154	139	1.800000e+00	113	144
1.900000e+00	147	145	2	115	148
2.100000e+00	144	149	2.200000e+00	113	140
2.300000e+00	141	142	2.400000e+00	116	147
2.500000e+00	144	136	2.600000e+00	114	148
2.700000e+00	135	137	2.800000e+00	113	151
2.900000e+00	146	137	3	113	152
3.100000e+00	141	152	3.200000e+00	113	163
3.300000e+00	147	143	3.400000e+00	113	151
3.500000e+00	138	140	3.600000e+00	113	142
3.700000e+00	140	143	3.800000e+00	114	145
3.900000e+00	145	149	4	114	157
4.100000e+00	136	137	4.200000e+00	113	158
4.300000e+00	138	137	4.400000e+00	113	142
4.500000e+00	131	139	4.600000e+00	115	142
4.700000e+00	137	155	4.800000e+00	114	150
4.900000e+00	143	156	5	113	150
5.100000e+00	143	141	5.200000e+00	113	147
5.300000e+00	130	138	5.400000e+00	113	148
5.500000e+00	151	150	5.600000e+00	113	140
5.700000e+00	146	141	5.800000e+00	113	149
5.900000e+00	137	136	6	113	140
6.100000e+00	137	141	6.200000e+00	113	163
6.300000e+00	139	137	6.400000e+00	113	153
6.500000e+00	141	144	6.600000e+00	115	144
6.700000e+00	135	149	6.800000e+00	113	140
6.900000e+00	137	146	7	114	146
7.100000e+00	138	147	7.200000e+00	114	153
7.300000e+00	135	146	7.400000e+00	115	144
7.500000e+00	143	158	7.600000e+00	113	143
7.700000e+00	141	138	7.800000e+00	114	145
7.900000e+00	139	144	8	114	149
8.100000e+00	137	145	8.200000e+00	114	151
8.300000e+00	137	147	8.400000e+00	113	156
8.500000e+00	137	147	8.600000e+00	113	148
8.700000e+00	143	140	8.800000e+00	113	153
8.900000e+00	144	146	9	114	155
9.100000e+00	135	142	9.200000e+00	115	154
9.300000e+00	144	137	9.400000e+00	113	147
9.500000e+00	140	144	9.600000e+00	113	144
9.700000e+00	142	143	9.800000e+00	114	163
9.900000e+00	126	140	10	114	165
1.010000e+01	145	155	1.020000e+01	114	154
1.030000e+01	145	154	1.040000e+01	113	146
1.050000e+01	149	144	1.060000e+01	114	143
1.070000e+01	131	143	1.080000e+01	114	154
1.090000e+01	141	142	11	114	156
1.110000e+01	140	149	1.120000e+01	114	142
1.130000e+01	132	139	1.140000e+01	113	149
1.150000e+01	136	144	1.160000e+01	113	149
1.170000e+01	148	136	1.180000e+01	113	148
1.190000e+01	138	133	12	115	141
1.210000e+01	144	148	1.220000e+01	115	147
1.230000e+01	144	149	1.240000e+01	115	149
1.250000e+01	142	148	1.260000e+01	113	143
1.270000e+01	144	140	1.280000e+01	115	151
1.290000e+01	142	142	13	113	152
1.310000e+01	139	144	1.320000e+01	113	168
1.330000e+01	133	153	1.340000e+01	114	148
1.350000e+01	141	145	1.360000e+01	113	152
1.370000e+01	139	140	1.380000e+01	113	158
1.390000e+01	164	135	14	113	157
1.410000e+01	155	138	1.420000e+01	114	151
1.430000e+01	172	139	1.440000e+01	114	151
1.450000e+01	142	140	1.460000e+01	114	139
1.470000e+01	153	136	1.480000e+01	113	143
1.490000e+01	150	133	15	113	161
1.510000e+01	163	132	1.520000e+01	115	142
1.530000e+01	154	140	1.540000e+01	114	136
1.550000e+01	158	132	1.560000e+01	114	140
1.570000e+01	167	124	1.580000e+01	114	152
1.590000e+01	150	137	16	113	151
1.610000e+01	148	131	1.620000e+01	113	154
1.630000e+01	141	134	1.640000e+01	116	150
1.650000e+01	149	140	1.660000e+01	114	149
1.670000e+01	156	136	1.680000e+01	113	150
1.690000e+01	140	155	17	113	147
1.710000e+01	131	143	1.720000e+01	114	150
1.730000e+01	141	152	1.740000e+01	113	156
1.750000e+01	135	139	1.760000e+01	113	153
1.770000e+01	132	145	1.780000e+01	113	146
1.790000e+01	146	145	18	114	157
1.810000e+01	139	146	1.820000e+01	113	143
1.830000e+01	140	140	1.840000e+01	113	144
1.850000e+01	147	141	1.860000e+01	114	156
1.870000e+01	142	152	1.880000e+01	114	152
1.890000e+01	135	148	19	114	150
1.910000e+01	139	147	1.920000e+01	113	145
1.930000e+01	145	150	1.940000e+01	113	148
1.950000e+01	143	148	1.960000e+01	113	150
1.970000e+01	144	139	1.980000e+01	114	149
1.990000e+01	146	149	20	113	156
