time at 500nm	frame at 500nm	I_1 at 500nm(counts)	I_2 at 500nm(counts)	time at 600nm	frame at 600nm	I_1 at 600nm(counts)	I_2 at 600nm(counts)	time at 500nm	frame at 500nm	FRET_1>2	discr.FRET_1>2	time at 500nm	frame at 500nm	S_1>2	discr.S_1>2	
1.000000e-01	1	7.920000e+01	33	2.000000e-01	2	2.600000e+00	73	1.000000e-01	1	2.941176e-01	2.517905e-01	1.000000e-01	1	6.058315e-01	5.486813e-01	
3.000000e-01	3	7.920000e+01	33	4.000000e-01	4	2.600000e+00	73	3.000000e-01	3	2.941176e-01	2.517905e-01	3.000000e-01	3	6.058315e-01	5.486813e-01	
5.000000e-01	5	-1	1.804000e+02	6.000000e-01	6	1.600000e+00	1.294000e+02	5.000000e-01	5	1.005574e+00	9.785731e-01	5.000000e-01	5	5.809585e-01	5.486813e-01	
7.000000e-01	7	4.600000e+00	6.400000e+00	8.000000e-01	8	6	143	7.000000e-01	7	5.818182e-01	5.975755e-01	7.000000e-01	7	7.142857e-02	6.332543e-02	
9.000000e-01	9	0	1.616000e+02	1	10	3.600000e+00	128	9.000000e-01	9	1	9.785731e-01	9.000000e-01	9	5.580110e-01	5.486813e-01	
1.100000e+00	11	-1	1.926000e+02	1.200000e+00	12	12	152	1.100000e+00	11	1.005219e+00	9.785731e-01	1.100000e+00	11	5.576251e-01	5.486813e-01	
1.300000e+00	13	1.800000e+00	1.588000e+02	1.400000e+00	14	-1	1.196000e+02	1.300000e+00	13	9.887920e-01	9.785731e-01	1.300000e+00	13	5.731620e-01	5.486813e-01	
1.500000e+00	15	-2.800000e+00	1.832000e+02	1.600000e+00	16	8.600000e+00	128	1.500000e+00	15	1.015521e+00	9.785731e-01	1.500000e+00	15	5.849546e-01	5.486813e-01	
1.700000e+00	17	4.400000e+00	198	1.800000e+00	18	-3.200000e+00	124	1.700000e+00	17	9.782609e-01	9.785731e-01	1.700000e+00	17	6.200980e-01	5.486813e-01	
1.900000e+00	19	3.400000e+00	1.748000e+02	2	20	7.600000e+00	1.472000e+02	1.900000e+00	19	9.809203e-01	9.785731e-01	1.900000e+00	19	5.476337e-01	5.486813e-01	
2.100000e+00	21	6.000000e-01	1.832000e+02	2.200000e+00	22	3.600000e+00	123	2.100000e+00	21	9.967356e-01	9.785731e-01	2.100000e+00	21	5.990874e-01	5.486813e-01	
2.300000e+00	23	2.400000e+00	1.858000e+02	2.400000e+00	24	3	161	2.300000e+00	23	9.872476e-01	9.785731e-01	2.300000e+00	23	5.389462e-01	5.486813e-01	
2.500000e+00	25	7.400000e+00	1.796000e+02	2.600000e+00	26	4.200000e+00	1.554000e+02	2.500000e+00	25	9.604278e-01	9.785731e-01	2.500000e+00	25	5.461449e-01	5.486813e-01	
2.700000e+00	27	1.340000e+01	1.768000e+02	2.800000e+00	28	7.600000e+00	1.222000e+02	2.700000e+00	27	9.295478e-01	9.785731e-01	2.700000e+00	27	6.088348e-01	5.486813e-01	
2.900000e+00	29	6.800000e+00	2.014000e+02	3	30	8.800000e+00	1.114000e+02	2.900000e+00	29	9.673391e-01	9.785731e-01	2.900000e+00	29	6.514393e-01	5.486813e-01	
3.100000e+00	31	-3.800000e+00	1.616000e+02	3.200000e+00	32	3.400000e+00	1.362000e+02	3.100000e+00	31	1.024081e+00	9.785731e-01	3.100000e+00	31	5.367347e-01	5.486813e-01	
3.300000e+00	33	6.200000e+00	180	3.400000e+00	34	-1	1.444000e+02	3.300000e+00	33	9.667025e-01	9.785731e-01	3.300000e+00	33	5.632184e-01	5.486813e-01	
3.500000e+00	35	2.120000e+01	1.044000e+02	3.600000e+00	36	4.200000e+00	1.018000e+02	3.500000e+00	35	8.312102e-01	9.785731e-01	3.500000e+00	35	5.523307e-01	5.486813e-01	
3.700000e+00	37	112	7.200000e+00	3.800000e+00	38	-1	-1.280000e+01	3.700000e+00	37	6.040268e-02	5.735731e-02	3.700000e+00	37	1.120301e+00	1.032341e+00	
3.900000e+00	39	9.560000e+01	1.120000e+01	4	40	2.000000e-01	2.740000e+01	3.900000e+00	39	1.048689e-01	5.735731e-02	3.900000e+00	39	7.958271e-01	5.486813e-01	
4.100000e+00	41	6.800000e+00	2.064000e+02	4.200000e+00	42	-1.400000e+00	1.208000e+02	4.100000e+00	41	9.681051e-01	9.785731e-01	4.100000e+00	41	6.383234e-01	5.486813e-01	
4.300000e+00	43	1.260000e+01	179	4.400000e+00	44	-1.600000e+00	1.254000e+02	4.300000e+00	43	9.342380e-01	9.785731e-01	4.300000e+00	43	6.044164e-01	5.486813e-01	
