timeat321nm	I_1at321nm	I_2at321nm	timeat510nm	I_1at510nm	I_2at510nm	timeat683nm	I_1at683nm	I_2at683nm
1.000000e-01	137	134	2.000000e-01	113	132	3.000000e-01	113	113
4.000000e-01	130	131	5.000000e-01	113	136	6.000000e-01	113	113
7.000000e-01	135	131	8.000000e-01	113	128	9.000000e-01	113	113
1	135	129	1.100000e+00	113	145	1.200000e+00	113	113
1.300000e+00	130	128	1.400000e+00	113	138	1.500000e+00	113	113
1.600000e+00	136	143	1.700000e+00	113	136	1.800000e+00	113	113
1.900000e+00	134	130	2	113	131	2.100000e+00	113	113
2.200000e+00	138	133	2.300000e+00	113	131	2.400000e+00	113	113
2.500000e+00	141	142	2.600000e+00	113	141	2.700000e+00	113	113
2.800000e+00	135	136	2.900000e+00	113	130	3	113	113
3.100000e+00	146	136	3.200000e+00	113	133	3.300000e+00	113	113
3.400000e+00	138	137	3.500000e+00	113	124	3.600000e+00	113	113
3.700000e+00	128	135	3.800000e+00	113	126	3.900000e+00	113	113
4	127	125	4.100000e+00	113	133	4.200000e+00	113	113
4.300000e+00	135	134	4.400000e+00	113	138	4.500000e+00	113	113
4.600000e+00	146	135	4.700000e+00	113	131	4.800000e+00	113	113
4.900000e+00	137	141	5	113	135	5.100000e+00	113	113
5.200000e+00	146	133	5.300000e+00	113	129	5.400000e+00	113	113
5.500000e+00	134	130	5.600000e+00	113	125	5.700000e+00	113	113
5.800000e+00	133	133	5.900000e+00	113	126	6	113	113
6.100000e+00	132	133	6.200000e+00	113	131	6.300000e+00	113	113
6.400000e+00	141	128	6.500000e+00	113	128	6.600000e+00	113	113
6.700000e+00	147	131	6.800000e+00	113	125	6.900000e+00	113	113
7	146	135	7.100000e+00	113	129	7.200000e+00	113	113
7.300000e+00	139	128	7.400000e+00	113	125	7.500000e+00	113	113
7.600000e+00	148	135	7.700000e+00	113	129	7.800000e+00	113	113
7.900000e+00	131	133	8	113	125	8.100000e+00	113	113
8.200000e+00	137	128	8.300000e+00	113	131	8.400000e+00	113	113
8.500000e+00	142	131	8.600000e+00	113	134	8.700000e+00	113	113
8.800000e+00	140	129	8.900000e+00	113	132	9	113	113
9.100000e+00	140	130	9.200000e+00	113	134	9.300000e+00	113	113
9.400000e+00	140	133	9.500000e+00	113	138	9.600000e+00	113	113
9.700000e+00	145	133	9.800000e+00	113	144	9.900000e+00	113	113
10	130	133	1.010000e+01	113	134	1.020000e+01	113	113
1.030000e+01	128	131	1.040000e+01	113	135	1.050000e+01	113	113
1.060000e+01	136	139	1.070000e+01	113	132	1.080000e+01	113	113
1.090000e+01	135	133	11	113	140	1.110000e+01	113	113
1.120000e+01	137	132	1.130000e+01	113	134	1.140000e+01	113	113
1.150000e+01	129	134	1.160000e+01	113	136	1.170000e+01	113	113
1.180000e+01	145	127	1.190000e+01	113	135	12	113	113
1.210000e+01	142	141	1.220000e+01	113	131	1.230000e+01	113	113
1.240000e+01	136	130	1.250000e+01	113	129	1.260000e+01	113	113
1.270000e+01	135	132	1.280000e+01	113	134	1.290000e+01	113	113
13	146	130	1.310000e+01	113	129	1.320000e+01	113	113
1.330000e+01	143	136	1.340000e+01	113	130	1.350000e+01	113	113
1.360000e+01	135	130	1.370000e+01	113	132	1.380000e+01	113	113
1.390000e+01	135	129	14	113	133	1.410000e+01	113	113
1.420000e+01	129	151	1.430000e+01	113	130	1.440000e+01	113	113
1.450000e+01	122	142	1.460000e+01	113	131	1.470000e+01	113	113
1.480000e+01	124	147	1.490000e+01	113	135	15	113	113
1.510000e+01	118	139	1.520000e+01	113	131	1.530000e+01	113	113
1.540000e+01	129	138	1.550000e+01	113	131	1.560000e+01	113	113
1.570000e+01	124	144	1.580000e+01	113	132	1.590000e+01	113	113
16	122	141	1.610000e+01	113	129	1.620000e+01	113	113
1.630000e+01	128	147	1.640000e+01	113	133	1.650000e+01	113	113
1.660000e+01	119	139	1.670000e+01	113	138	1.680000e+01	113	113
1.690000e+01	127	142	17	113	139	1.710000e+01	113	113
1.720000e+01	120	146	1.730000e+01	113	135	1.740000e+01	113	113
1.750000e+01	122	139	1.760000e+01	113	129	1.770000e+01	113	113
1.780000e+01	127	146	1.790000e+01	113	133	18	113	113
1.810000e+01	122	142	1.820000e+01	113	131	1.830000e+01	113	113
1.840000e+01	124	138	1.850000e+01	113	133	1.860000e+01	113	113
1.870000e+01	130	141	1.880000e+01	113	135	1.890000e+01	113	113
19	131	139	1.910000e+01	113	133	1.920000e+01	113	113
1.930000e+01	121	146	1.940000e+01	113	136	1.950000e+01	113	113
1.960000e+01	123	146	1.970000e+01	113	130	1.980000e+01	113	113
1.990000e+01	122	145	20	113	127	2.010000e+01	113	113
2.020000e+01	127	136	2.030000e+01	113	127	2.040000e+01	113	113
2.050000e+01	122	137	2.060000e+01	113	136	2.070000e+01	113	113
2.080000e+01	127	151	2.090000e+01	113	136	21	113	113
2.110000e+01	129	147	2.120000e+01	113	146	2.130000e+01	113	113
2.140000e+01	124	144	2.150000e+01	113	127	2.160000e+01	113	113
2.170000e+01	125	146	2.180000e+01	113	129	2.190000e+01	113	113
22	121	150	2.210000e+01	113	128	2.220000e+01	113	113
2.230000e+01	125	144	2.240000e+01	113	134	2.250000e+01	113	113
2.260000e+01	119	142	2.270000e+01	113	139	2.280000e+01	113	113
2.290000e+01	125	144	23	113	133	2.310000e+01	113	113
2.320000e+01	120	143	2.330000e+01	113	132	2.340000e+01	113	113
