timeat60nm	I_1at60nm	I_2at60nm	I_3at60nm
1.000000e-01	151	113	116
3.000000e-01	162	113	123
5.000000e-01	149	113	119
7.000000e-01	154	113	120
9.000000e-01	151	114	119
1.100000e+00	144	113	121
1.300000e+00	161	113	129
1.500000e+00	152	113	128
1.700000e+00	159	113	123
1.900000e+00	162	114	128
2.100000e+00	177	113	124
2.300000e+00	164	113	121
2.500000e+00	153	114	125
2.700000e+00	171	113	121
2.900000e+00	159	114	121
3.100000e+00	151	113	126
3.300000e+00	164	113	123
3.500000e+00	158	113	128
3.700000e+00	162	113	122
3.900000e+00	156	113	125
4.100000e+00	153	113	123
4.300000e+00	165	113	122
4.500000e+00	150	116	123
4.700000e+00	155	113	121
4.900000e+00	149	114	119
5.100000e+00	165	113	125
5.300000e+00	157	114	121
5.500000e+00	155	113	125
5.700000e+00	166	113	119
5.900000e+00	160	113	116
6.100000e+00	159	113	120
6.300000e+00	148	113	123
6.500000e+00	158	113	122
6.700000e+00	174	113	120
6.900000e+00	159	113	122
7.100000e+00	160	113	119
7.300000e+00	147	113	122
7.500000e+00	158	114	118
7.700000e+00	169	115	127
7.900000e+00	167	114	120
8.100000e+00	149	113	124
8.300000e+00	163	113	116
8.500000e+00	162	113	118
8.700000e+00	155	113	124
8.900000e+00	156	113	123
9.100000e+00	160	114	127
9.300000e+00	157	113	121
9.500000e+00	158	114	120
9.700000e+00	155	113	122
9.900000e+00	154	114	120
1.010000e+01	154	113	124
1.030000e+01	161	113	120
1.050000e+01	154	113	121
1.070000e+01	150	113	126
1.090000e+01	155	113	122
1.110000e+01	157	113	121
1.130000e+01	163	113	123
1.150000e+01	158	113	121
1.170000e+01	165	113	125
1.190000e+01	153	113	121
1.210000e+01	162	113	121
1.230000e+01	157	113	124
1.250000e+01	153	113	123
1.270000e+01	163	113	120
1.290000e+01	161	114	125
1.310000e+01	152	113	126
1.330000e+01	156	114	116
1.350000e+01	149	114	122
1.370000e+01	151	114	122
1.390000e+01	166	113	125
1.410000e+01	146	113	125
1.430000e+01	154	113	119
1.450000e+01	157	113	119
1.470000e+01	154	113	123
1.490000e+01	155	113	126
1.510000e+01	151	114	124
1.530000e+01	155	113	125
1.550000e+01	158	114	122
1.570000e+01	159	113	115
1.590000e+01	159	113	124
1.610000e+01	155	113	127
1.630000e+01	146	113	123
1.650000e+01	166	113	117
1.670000e+01	162	113	123
1.690000e+01	163	113	124
1.710000e+01	156	114	124
1.730000e+01	154	113	122
1.750000e+01	148	113	122
1.770000e+01	168	113	122
1.790000e+01	149	113	118
1.810000e+01	159	113	128
1.830000e+01	152	113	119
1.850000e+01	148	113	127
