coordinates:	49.2,54.2	49.2,54.2	49.2,54.2
timeat421nm	I_1at421nm	I_2at421nm	I_3at421nm
1.000000e-01	148	116	128
3.000000e-01	121	115	164
5.000000e-01	139	115	128
7.000000e-01	122	113	173
9.000000e-01	122	114	175
1.100000e+00	124	115	174
1.300000e+00	118	113	174
1.500000e+00	143	114	129
1.700000e+00	124	116	179
1.900000e+00	123	115	181
2.100000e+00	121	115	178
2.300000e+00	124	113	169
2.500000e+00	119	114	163
2.700000e+00	122	114	184
2.900000e+00	121	115	160
3.100000e+00	119	113	178
3.300000e+00	212	116	117
3.500000e+00	205	116	118
3.700000e+00	205	114	117
3.900000e+00	232	115	117
4.100000e+00	226	114	123
4.300000e+00	231	116	118
4.500000e+00	222	114	119
4.700000e+00	204	116	118
4.900000e+00	217	115	115
5.100000e+00	202	117	119
5.300000e+00	219	115	123
5.500000e+00	230	116	118
5.700000e+00	114	114	117
5.900000e+00	184	113	116
6.100000e+00	231	115	116
6.300000e+00	213	113	116
6.500000e+00	212	114	117
6.700000e+00	226	116	119
6.900000e+00	214	115	114
7.100000e+00	222	117	114
7.300000e+00	211	114	115
7.500000e+00	234	113	117
7.700000e+00	227	117	117
7.900000e+00	205	120	119
8.100000e+00	212	113	118
8.300000e+00	196	115	115
8.500000e+00	217	114	119
8.700000e+00	198	114	120
8.900000e+00	218	113	117
9.100000e+00	115	114	119
9.300000e+00	113	113	120
9.500000e+00	115	114	114
9.700000e+00	113	114	119
9.900000e+00	115	113	116
1.010000e+01	114	113	116
1.030000e+01	114	114	118
1.050000e+01	114	113	116
1.070000e+01	114	115	122
1.090000e+01	115	113	117
1.110000e+01	115	115	120
1.130000e+01	114	114	115
1.150000e+01	116	114	119
1.170000e+01	115	113	114
1.190000e+01	115	114	118
1.210000e+01	114	113	115
1.230000e+01	113	116	115
1.250000e+01	114	113	119
1.270000e+01	114	114	115
1.290000e+01	116	115	118
1.310000e+01	115	115	118
1.330000e+01	114	115	116
1.350000e+01	113	114	120
1.370000e+01	115	113	120
1.390000e+01	114	115	114
1.410000e+01	115	113	119
1.430000e+01	113	114	123
1.450000e+01	114	114	115
1.470000e+01	115	113	114
1.490000e+01	115	113	117
1.510000e+01	116	113	119
1.530000e+01	114	113	123
1.550000e+01	114	113	117
1.570000e+01	114	113	118
1.590000e+01	113	115	120
1.610000e+01	114	115	113
1.630000e+01	115	113	118
1.650000e+01	114	114	116
1.670000e+01	113	113	119
1.690000e+01	114	116	119
1.710000e+01	115	114	115
1.730000e+01	113	113	116
1.750000e+01	113	113	123
1.770000e+01	114	114	116
1.790000e+01	114	115	117
1.810000e+01	114	114	116
1.830000e+01	113	114	116
1.850000e+01	114	114	120
1.870000e+01	113	113	117
1.890000e+01	115	114	115
1.910000e+01	114	113	121
1.930000e+01	114	114	117
1.950000e+01	114	113	118
1.970000e+01	115	114	117
1.990000e+01	116	113	118
