coordinates:	43.9,143.0	128.9,143.0	213.9,143.0
timeat184nm	I_1at184nm	I_2at184nm	I_3at184nm
1.000000e-01	142	115	122
2.000000e-01	113	137	122
3.000000e-01	113	113	149
4.000000e-01	157	121	122
5.000000e-01	113	132	121
6.000000e-01	113	113	146
7.000000e-01	137	117	117
8.000000e-01	113	133	120
9.000000e-01	113	113	148
1	137	121	119
1.100000e+00	113	139	123
1.200000e+00	113	113	147
1.300000e+00	141	116	125
1.400000e+00	113	134	124
1.500000e+00	113	113	141
1.600000e+00	150	122	123
1.700000e+00	113	135	120
1.800000e+00	113	113	142
1.900000e+00	156	119	122
2	113	137	123
2.100000e+00	113	113	140
2.200000e+00	138	118	120
2.300000e+00	113	145	127
2.400000e+00	113	113	150
2.500000e+00	142	121	123
2.600000e+00	113	141	119
2.700000e+00	113	113	146
2.800000e+00	139	119	122
2.900000e+00	113	138	129
3	113	113	137
3.100000e+00	147	124	117
3.200000e+00	113	140	122
3.300000e+00	113	113	147
3.400000e+00	145	121	123
3.500000e+00	113	143	120
3.600000e+00	113	113	139
3.700000e+00	147	121	123
3.800000e+00	113	133	119
3.900000e+00	113	113	145
4	142	116	116
4.100000e+00	113	141	121
4.200000e+00	113	113	146
4.300000e+00	138	123	123
4.400000e+00	113	133	121
4.500000e+00	113	113	137
4.600000e+00	148	125	119
4.700000e+00	113	136	120
4.800000e+00	113	113	131
4.900000e+00	132	121	121
5	113	135	118
5.100000e+00	113	113	141
5.200000e+00	142	123	123
5.300000e+00	113	145	122
5.400000e+00	113	113	144
5.500000e+00	150	116	121
5.600000e+00	113	142	119
5.700000e+00	113	113	141
5.800000e+00	144	123	120
5.900000e+00	113	136	123
6	113	113	142
6.100000e+00	143	116	117
6.200000e+00	113	136	126
6.300000e+00	113	113	135
6.400000e+00	153	113	130
6.500000e+00	113	133	119
6.600000e+00	113	113	137
6.700000e+00	143	119	119
6.800000e+00	113	134	123
6.900000e+00	113	113	155
7	143	115	119
7.100000e+00	113	136	121
7.200000e+00	113	113	134
7.300000e+00	145	120	125
7.400000e+00	113	132	124
7.500000e+00	113	113	147
7.600000e+00	139	120	125
7.700000e+00	113	128	125
7.800000e+00	113	113	133
7.900000e+00	154	120	124
8	113	138	125
8.100000e+00	113	113	141
8.200000e+00	134	118	123
8.300000e+00	113	132	122
