timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	2699	1.265070e+03	3.191341e-01	3.191341e-01	4.916578e-01	6.465096e-01
2.000000e-01	2	1263	4.098590e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2563	1.351590e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1160	3.969800e+03	7.738703e-01	7.738703e-01	8.047717e-01	6.465096e-01
5.000000e-01	5	2951	1.244430e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1221	5.188530e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	3077	9.626100e+02	2.382928e-01	2.382928e-01	4.639422e-01	6.465096e-01
8.000000e-01	8	1121	4.667530e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2908	1.173440e+03	NaN	NaN	NaN	NaN
1	10	1163	5.572590e+03	8.273351e-01	8.273351e-01	8.390070e-01	6.465096e-01
1.100000e+00	11	2722	1.292460e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1097	4.621210e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2946	1.333780e+03	3.116469e-01	3.116469e-01	4.594434e-01	6.465096e-01
1.400000e+00	14	1152	5.035360e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	3201	1.215930e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1241	4.259130e+03	7.743690e-01	7.743690e-01	8.202355e-01	6.465096e-01
1.700000e+00	17	3094	1.205420e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1227	5.334110e+03	NaN	NaN	NaN	NaN
