timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	7622	1.279460e+03	1147	1.437360e-01	1.437360e-01	1.308017e-01	1.308017e-01
2.000000e-01	2	1152	1.758360e+03	1112	6.041727e-01	6.041727e-01	4.911661e-01	4.911661e-01
3.000000e-01	3	7390	1.020700e+03	1081	1.213573e-01	1.213573e-01	1.276119e-01	1.276119e-01
4.000000e-01	4	1209	1.917370e+03	1025	6.132895e-01	6.132895e-01	4.588183e-01	4.588183e-01
5.000000e-01	5	7199	1.038070e+03	1084	1.260242e-01	1.260242e-01	1.308705e-01	1.308705e-01
6.000000e-01	6	1243	1.504990e+03	1126	5.476694e-01	5.476694e-01	4.753060e-01	4.753060e-01
7.000000e-01	7	5918	1.147740e+03	1205	1.624373e-01	1.624373e-01	1.691703e-01	1.691703e-01
8.000000e-01	8	1083	1.827190e+03	1211	6.278593e-01	6.278593e-01	5.278989e-01	5.278989e-01
9.000000e-01	9	6118	1.574740e+03	1054	2.047047e-01	2.047047e-01	1.469604e-01	1.469604e-01
1	10	1151	1.537430e+03	1003	5.718691e-01	5.718691e-01	4.656453e-01	4.656453e-01
1.100000e+00	11	6617	1.220810e+03	1203	1.557591e-01	1.557591e-01	1.538363e-01	1.538363e-01
1.200000e+00	12	1116	1.702880e+03	1127	6.040981e-01	6.040981e-01	5.024521e-01	5.024521e-01
1.300000e+00	13	7761	1.061730e+03	1170	1.203403e-01	1.203403e-01	1.310044e-01	1.310044e-01
1.400000e+00	14	1219	1.604670e+03	1029	5.682923e-01	5.682923e-01	4.577402e-01	4.577402e-01
1.500000e+00	15	5848	1.433640e+03	1100	1.968842e-01	1.968842e-01	1.583189e-01	1.583189e-01
1.600000e+00	16	1293	1.608490e+03	1073	5.543669e-01	5.543669e-01	4.535080e-01	4.535080e-01
1.700000e+00	17	7138	1.335340e+03	1108	1.575931e-01	1.575931e-01	1.343682e-01	1.343682e-01
1.800000e+00	18	1158	1.741940e+03	1050	6.006814e-01	6.006814e-01	4.755435e-01	4.755435e-01
1.900000e+00	19	6017	1.270810e+03	1070	1.743747e-01	1.743747e-01	1.509807e-01	1.509807e-01
2	20	1159	1.990870e+03	1048	6.320483e-01	6.320483e-01	4.748527e-01	4.748527e-01
