timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	2741	1.156130e+03	1021	3.515326e-01	3.515326e-01	2.013963e-01	1.931722e-01	NaN	NaN	4.946672e-01	5.068834e-01
2.000000e-01	2	1369	3.909170e+03	1115	NaN	NaN	NaN	NaN	2.219272e-01	2.305425e-01	NaN	NaN
3.000000e-01	3	2989	1.319770e+03	1033	3.708428e-01	3.708428e-01	1.650768e-01	1.931722e-01	NaN	NaN	5.107143e-01	5.068834e-01
4.000000e-01	4	1048	3.833640e+03	1284	NaN	NaN	NaN	NaN	2.508969e-01	2.305425e-01	NaN	NaN
5.000000e-01	5	2512	1.231160e+03	1044	3.771233e-01	3.771233e-01	2.309245e-01	1.931722e-01	NaN	NaN	4.517041e-01	5.068834e-01
6.000000e-01	6	1288	4.703840e+03	1107	NaN	NaN	NaN	NaN	1.905060e-01	2.305425e-01	NaN	NaN
7.000000e-01	7	2825	1.341250e+03	951	3.767595e-01	3.767595e-01	1.714302e-01	1.931722e-01	NaN	NaN	5.062780e-01	5.068834e-01
8.000000e-01	8	1038	3.919340e+03	1071	NaN	NaN	NaN	NaN	2.146146e-01	2.305425e-01	NaN	NaN
9.000000e-01	9	3033	1.112690e+03	1082	3.300301e-01	3.300301e-01	1.876518e-01	1.931722e-01	NaN	NaN	5.069197e-01	5.068834e-01
1	10	1129	3.786970e+03	1298	NaN	NaN	NaN	NaN	2.552621e-01	2.305425e-01	NaN	NaN
1.100000e+00	11	3252	1.307360e+03	1157	3.386768e-01	3.386768e-01	1.972245e-01	1.931722e-01	NaN	NaN	5.045122e-01	5.068834e-01
1.200000e+00	12	1327	4.407110e+03	1207	NaN	NaN	NaN	NaN	2.149940e-01	2.305425e-01	NaN	NaN
1.300000e+00	13	2730	1.243900e+03	1133	3.769473e-01	3.769473e-01	2.098976e-01	1.931722e-01	NaN	NaN	5.221069e-01	5.068834e-01
1.400000e+00	14	1051	3.520430e+03	1154	NaN	NaN	NaN	NaN	2.468750e-01	2.305425e-01	NaN	NaN
1.500000e+00	15	2826	1.440180e+03	1111	3.996258e-01	3.996258e-01	1.916743e-01	1.931722e-01	NaN	NaN	5.362305e-01	5.068834e-01
1.600000e+00	16	1092	3.560560e+03	1090	NaN	NaN	NaN	NaN	2.343804e-01	2.305425e-01	NaN	NaN
1.700000e+00	17	2682	1.286260e+03	1059	3.860185e-01	3.860185e-01	1.972583e-01	1.931722e-01	NaN	NaN	5.215206e-01	5.068834e-01
1.800000e+00	18	1252	3.518360e+03	1094	NaN	NaN	NaN	NaN	2.371888e-01	2.305425e-01	NaN	NaN
1.900000e+00	19	2797	1.340210e+03	1031	3.863010e-01	3.863010e-01	1.791880e-01	1.931722e-01	NaN	NaN	5.141802e-01	5.068834e-01
2	20	1255	3.717150e+03	1166	NaN	NaN	NaN	NaN	2.387803e-01	2.305425e-01	NaN	NaN
