timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	4981	2.948330e+03	1124	4.177558e-01	4.177558e-01	9.097545e-02	9.097545e-02	NaN	NaN	5.254573e-01	6.191970e-01	8.923643e-01	8.789621e-01	NaN	NaN
2.000000e-01	2	1070	6.745100e+03	1431	NaN	NaN	NaN	NaN	1.750223e-01	1.750223e-01	NaN	NaN	NaN	NaN	8.821765e-01	8.088931e-01
3.000000e-01	3	6149	3.002570e+03	1092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1149	6.643570e+03	1417	8.882404e-01	8.882404e-01	-1.381223e+01	9.097545e-02	NaN	NaN	7.012771e-01	6.191970e-01	8.731461e-01	8.789621e-01	NaN	NaN
5.000000e-01	5	4600	2854	1069	NaN	NaN	NaN	NaN	2.724955e-01	2.724955e-01	NaN	NaN	NaN	NaN	7.456757e-01	8.088931e-01
6.000000e-01	6	1318	5.716740e+03	1338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	4965	2.864450e+03	1055	4.137957e-01	4.137957e-01	7.708725e-02	7.708725e-02	NaN	NaN	5.511233e-01	6.191970e-01	8.762260e-01	8.789621e-01	NaN	NaN
8.000000e-01	8	1369	5.914170e+03	1322	NaN	NaN	NaN	NaN	1.826933e-01	1.826933e-01	NaN	NaN	NaN	NaN	8.521994e-01	8.088931e-01
9.000000e-01	9	5004	2.592720e+03	1255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	966	6.708380e+03	1355	9.060564e-01	9.060564e-01	4.361289e+00	7.708725e-02	NaN	NaN	6.918387e-01	6.191970e-01	8.729622e-01	8.789621e-01	NaN	NaN
1.100000e+00	11	5030	2.895900e+03	1126	NaN	NaN	NaN	NaN	2.799672e-01	2.799672e-01	NaN	NaN	NaN	NaN	7.537435e-01	8.088931e-01
1.200000e+00	12	1189	6.574770e+03	1314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	5548	2.960640e+03	1179	4.025106e-01	4.025106e-01	6.758181e-02	6.758181e-02	NaN	NaN	5.701751e-01	6.191970e-01	8.928174e-01	8.789621e-01	NaN	NaN
1.400000e+00	14	1200	5785	1518	NaN	NaN	NaN	NaN	2.078598e-01	2.078598e-01	NaN	NaN	NaN	NaN	8.626270e-01	8.088931e-01
1.500000e+00	15	5137	3.156410e+03	1163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1091	5.708630e+03	1478	8.764017e-01	8.764017e-01	-1.014212e+00	6.758181e-02	NaN	NaN	6.753103e-01	6.191970e-01	8.662569e-01	8.789621e-01	NaN	NaN
1.700000e+00	17	5673	2.936890e+03	1043	NaN	NaN	NaN	NaN	2.620675e-01	2.620675e-01	NaN	NaN	NaN	NaN	7.569367e-01	8.088931e-01
1.800000e+00	18	1148	5.699640e+03	1278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
