x1	y1	x2	y2	signal1 at357nm(average)	noise1 at357nm	signal2 at357nm(average)	noise2 at357nm	signal1 at434nm(average)	noise1 at434nm	signal2 at434nm(average)	noise2 at434nm	
57.50	58.50	185.50	58.50	5.844300e+03	5.353259e+02	1.143300e+03	1.111976e+02	1.182900e+03	5.793377e+01	1.085100e+03	9.385029e+01	
20.50	50.50	148.50	50.50	4.805600e+03	3.594793e+02	1.449900e+03	1.241124e+02	1.208500e+03	9.797761e+01	1.673900e+03	1.589720e+02	
4.50	135.50	132.50	135.50	6.240300e+03	5.081656e+02	1.326300e+03	8.488299e+01	1126	8.129507e+01	1.892400e+03	1.271676e+02	
46.50	175.50	174.50	175.50	5.388900e+03	5.465895e+02	1109	6.082215e+01	1.185800e+03	9.444787e+01	1.105400e+03	6.804933e+01	
16.50	40.50	144.50	40.50	6.685100e+03	6.872765e+02	1.777200e+03	1.940033e+02	1.234200e+03	9.072645e+01	1.614900e+03	1.160033e+02	
35.50	92.50	163.50	92.50	6.312100e+03	5.767352e+02	1.313700e+03	9.187195e+01	1.167100e+03	1.012790e+02	2.203100e+03	1.599573e+02	
46.50	50.50	174.50	50.50	7.528600e+03	6.115042e+02	1.135300e+03	8.245949e+01	1.189200e+03	8.942259e+01	1.052800e+03	7.856604e+01	
37.50	202.50	165.50	202.50	7.873600e+03	4.705619e+02	1.237600e+03	9.331571e+01	1.139300e+03	8.755449e+01	1.644600e+03	1.516621e+02	
80.50	239.50	208.50	239.50	7.668700e+03	9.189900e+02	1.052700e+03	5.579138e+01	1.211500e+03	1.097322e+02	1.060100e+03	6.583051e+01	
40.50	80.50	168.50	80.50	6.758100e+03	5.948151e+02	1.145600e+03	7.657705e+01	1.200900e+03	9.411040e+01	1255	3.983856e+01	
15.50	224.50	143.50	224.50	7.532500e+03	4.962992e+02	1.248700e+03	8.482538e+01	1.138800e+03	9.100159e+01	1.569900e+03	1.293646e+02	
10.50	173.50	138.50	173.50	6.762800e+03	7.455678e+02	1.434400e+03	1.214891e+02	1.178300e+03	6.247319e+01	1.533300e+03	1.328015e+02	
17.50	219.50	145.50	219.50	6.990100e+03	5.735039e+02	1.231800e+03	1.108039e+02	1.121600e+03	6.472197e+01	1.599100e+03	1.197362e+02	
30.50	99.50	158.50	99.50	10947	1.079925e+03	1419	1.153266e+02	1.215900e+03	9.562479e+01	1.702300e+03	1.426971e+02	
15.50	91.50	143.50	91.50	8.930500e+03	6.029939e+02	1.297700e+03	1.107360e+02	1.193600e+03	9.034280e+01	1.917300e+03	1.521973e+02	
75.50	40.50	203.50	40.50	1.070340e+04	1.136568e+03	1.164800e+03	9.421465e+01	1.164300e+03	8.856517e+01	1.079600e+03	6.063772e+01	
115.50	97.50	243.50	97.50	3976	3.419240e+02	1.043300e+03	7.174654e+01	3.109380e+04	1.766793e+03	1.061600e+03	6.470823e+01	
105.50	129.50	233.50	129.50	5.247400e+03	6.908303e+02	1.073100e+03	3.658612e+01	2.332530e+04	1.072720e+03	1.062900e+03	1.003421e+02	
21.50	131.50	149.50	131.50	2.689680e+04	4.244415e+03	1.412700e+03	9.151084e+01	1.253900e+03	7.472981e+01	1.573100e+03	6.672239e+01	
79.50	13.50	207.50	13.50	1.218040e+04	9.090121e+02	1.114500e+03	6.179941e+01	1.207800e+03	1.186028e+02	1.085600e+03	2.754471e+01	
37.50	196.50	165.50	196.50	2.737500e+03	2.318890e+02	1448	1.818834e+02	1.136100e+03	7.327338e+01	4.520800e+03	4.287332e+02	
13.50	81.50	141.50	81.50	2.552800e+03	1.385888e+02	1737	1.127928e+02	1.166700e+03	8.650633e+01	4.601300e+03	3.881435e+02	
38.50	148.50	166.50	148.50	2898	1.990315e+02	1.428900e+03	1.015879e+02	1.182700e+03	5.403096e+01	4.937900e+03	6.312121e+02	
39.50	10.50	167.50	10.50	6.603800e+03	8.081838e+02	1.475900e+03	8.442808e+01	1.242400e+03	9.960500e+01	4.350600e+03	2.476706e+02	
16.50	246.50	144.50	246.50	2.432300e+03	2.401680e+02	1.463200e+03	1.409963e+02	1.140400e+03	1.104900e+02	4.296600e+03	3.933212e+02	
4.50	215.50	132.50	215.50	2.459500e+03	5.626780e+02	1.634400e+03	1.708035e+02	1.174900e+03	1.035229e+02	4.715600e+03	3.495623e+02	
35.50	74.50	163.50	74.50	2.836200e+03	2.263408e+02	1.427400e+03	1.119992e+02	1.179400e+03	9.945541e+01	4.831300e+03	4.004384e+02	
8.50	7.50	136.50	7.50	2.428500e+03	2.005355e+02	1.587700e+03	1.695209e+02	1.226800e+03	9.424531e+01	5.436200e+03	7.391740e+02	
32.50	38.50	160.50	38.50	2.494800e+03	2.135649e+02	2.464300e+03	2.971995e+02	1.232200e+03	6.617955e+01	5.440400e+03	5.163922e+02	
24.50	200.50	152.50	200.50	2.427700e+03	2.034803e+02	1.399900e+03	9.387279e+01	1.205400e+03	9.337999e+01	4878	5.958160e+02	
32.50	92.50	160.50	92.50	5.905900e+03	5.050759e+02	1.451900e+03	1.497579e+02	1.162300e+03	9.314630e+01	5725	7.052952e+02	
21.50	93.50	149.50	93.50	5.387800e+03	6.012089e+02	1.459800e+03	1.505145e+02	1.189500e+03	7.759761e+01	4.562500e+03	3.723204e+02	
25.50	60.50	153.50	60.50	2.741500e+03	2.280357e+02	1.504900e+03	1.404528e+02	1.173400e+03	5.012030e+01	5.829500e+03	4.808713e+02	
26.50	224.50	154.50	224.50	2.748700e+03	3.067848e+02	1.430500e+03	1.156261e+02	1.161100e+03	8.439648e+01	5.645700e+03	4.330982e+02	
28.50	238.50	156.50	238.50	2.312100e+03	2.470746e+02	1.476600e+03	9.759918e+01	1.125800e+03	5.846708e+01	3.970600e+03	3.927612e+02	
9.50	215.50	137.50	215.50	2.703100e+03	2.753771e+02	2.726400e+03	2.033094e+02	1.161100e+03	8.302536e+01	4.628800e+03	3.938507e+02	
21.50	24.50	149.50	24.50	2.930600e+03	2.632064e+02	1.728900e+03	1.409416e+02	1.231200e+03	9.139147e+01	5.898200e+03	5.424409e+02	
28.50	70.50	156.50	70.50	2.775400e+03	2.048144e+02	1.575100e+03	2.041478e+02	1.224800e+03	6.243539e+01	4825	4.574878e+02	
21.50	236.50	149.50	236.50	2.562600e+03	1.661975e+02	1.986800e+03	1.731985e+02	1.125900e+03	7.947110e+01	5.838100e+03	8.242762e+02	
10.50	242.50	138.50	242.50	2.269300e+03	1.309284e+02	3.091900e+03	4.285711e+02	1.126300e+03	6.806867e+01	7.957700e+03	6.219511e+02	
