creation date: 02-Apr-2020 21:53:28
MASH-FRET version: 1.1.2 (prev. commit: d751a5f)
movie file: C:\MASH-FRET\MASH-FRET\source\routines\mod_video_processing\assets\2020.sira
coordinates file: C:\MASH-FRET\MASH-FRET\source\routines\mod_video_processing\assets\2020_2chan.coord
number of channels: 2
excitation wavelengths: 357.00 nm	434.00 nm	
frame rate: 10 fps 
integration area: 5 x 5
number of brightest pixels: 8
experimental parameters: 
	Project title: test_2chan2exc
	Molecule: none
	[Mg2+]: 42 mM
	[K+]: 150 mM
	Power(357nm): 95 mW
	Power(434nm): 66 mW
	buffer: 1
coordinates:		57.50,58.50	185.50,58.50	20.50,50.50	148.50,50.50	4.50,135.50	132.50,135.50	46.50,175.50	174.50,175.50	16.50,40.50	144.50,40.50	35.50,92.50	163.50,92.50	46.50,50.50	174.50,50.50	37.50,202.50	165.50,202.50	80.50,239.50	208.50,239.50	40.50,80.50	168.50,80.50	15.50,224.50	143.50,224.50	10.50,173.50	138.50,173.50	17.50,219.50	145.50,219.50	30.50,99.50	158.50,99.50	15.50,91.50	143.50,91.50	75.50,40.50	203.50,40.50	115.50,97.50	243.50,97.50	105.50,129.50	233.50,129.50	21.50,131.50	149.50,131.50	79.50,13.50	207.50,13.50	37.50,196.50	165.50,196.50	13.50,81.50	141.50,81.50	38.50,148.50	166.50,148.50	39.50,10.50	167.50,10.50	16.50,246.50	144.50,246.50	4.50,215.50	132.50,215.50	35.50,74.50	163.50,74.50	8.50,7.50	136.50,7.50	32.50,38.50	160.50,38.50	24.50,200.50	152.50,200.50	32.50,92.50	160.50,92.50	21.50,93.50	149.50,93.50	25.50,60.50	153.50,60.50	26.50,224.50	154.50,224.50	28.50,238.50	156.50,238.50	9.50,215.50	137.50,215.50	21.50,24.50	149.50,24.50	28.50,70.50	156.50,70.50	21.50,236.50	149.50,236.50	10.50,242.50	138.50,242.50
time(s)	frames	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)
1.000000e-01	1	6338	1106	4696	1699	6230	1453	5419	990	5836	1547	6160	1482	6948	1309	8430	1139	6071	1013	6321	1178	7188	1328	7622	1606	6805	1125	10312	1273	9425	1114	11060	1339	3543	1018	6065	1098	21656	1322	12398	1202	2716	1489	2610	1655	2699	1454	7691	1592	2089	1598	2301	1943	3007	1471	2550	1584	2780	2908	2294	1301	5873	1605	5271	1366	2780	1589	2789	1298	1794	1348	3039	2730	3288	1665	2562	1693	2127	2099	2097	3593
2.000000e-01	2	1198	1039	1144	1759	1077	1722	1167	1170	1122	1602	1213	2215	1142	978	1118	1337	1177	989	1374	1233	1028	1614	1152	1649	1117	1574	1249	1466	1046	1761	1072	971	30015	988	24079	931	1256	1673	1230	1062	1147	3888	1271	5271	1263	4187	1022	4669	1063	4617	1336	4810	1115	4607	1225	5142	1133	5832	1304	4475	1207	5274	1255	4736	1189	5721	1022	5904	1011	4005	1149	3999	1413	6263	1132	5054	1044	7151	1168	8269
3.000000e-01	3	5288	1167	4930	1393	5699	1236	4886	1192	7347	1766	7067	1192	7793	1083	7383	1230	8934	1179	7330	1170	6927	1178	7390	1424	6890	1146	13161	1418	8755	1249	10437	1271	4287	1019	5554	1017	27170	1424	10708	1024	2430	1174	2523	1718	2563	1531	6776	1415	2660	1474	2293	1730	2836	1474	2370	1443	2298	2388	2507	1497	6626	1437	5684	1674	2777	1516	3057	1466	2386	1529	2265	2804	2416	1628	3095	1887	2539	1949	2065	2448
4.000000e-01	4	1203	1169	1376	1657	1142	1707	1033	1035	1142	1681	1045	1972	1077	961	1127	1782	1206	1106	1239	1249	1132	1496	1209	1519	1116	1551	1234	1768	1174	1888	1218	1155	31932	991	23834	1164	1302	1543	1254	1130	1095	4969	1214	5075	1160	4051	1325	4249	1199	3643	1065	4725	1266	5083	1360	4959	1279	5084	1090	5675	1104	4895	1267	4330	1186	6798	1272	5560	1125	3907	1124	4396	1329	6222	1264	4418	1242	4860	1145	7608
5.000000e-01	5	5609	1103	5100	1567	6850	1306	4922	1152	6304	1637	5678	1268	7567	1051	7840	1265	7007	1107	5946	1001	7313	1200	7199	1426	6728	1396	12000	1531	8233	1345	9829	1107	4580	976	5537	1054	30201	1297	11226	1133	2996	1499	2830	1833	2951	1451	6376	1470	2076	1767	2239	1428	2673	1519	2344	1545	2401	2089	2622	1296	5399	1221	5419	1396	3193	1424	2238	1334	2179	1407	2675	2572	2854	1625	2956	1527	2668	1981	2359	2940
6.000000e-01	6	1198	1090	1171	1996	1182	1932	1171	1145	1286	1495	1088	2118	1253	1002	1196	1643	1410	1116	1185	1269	1232	1458	1243	1406	1125	1448	1015	1655	1175	1631	1187	1009	33969	1107	23704	1168	1299	1602	1275	1110	1121	3814	1119	4563	1221	5274	1352	4769	1131	4518	1093	5181	1325	4948	1128	4948	1316	5191	1068	4363	1103	5182	1177	4067	1144	5457	1153	5958	1211	4794	1117	5196	1146	5687	1207	4221	1242	5473	1247	7362
7.000000e-01	7	6427	1078	4289	1477	5879	1225	5753	1129	6176	2054	6285	1361	8620	1037	8269	1184	8332	1059	7649	1141	7875	1112	5918	1294	6602	1202	9976	1300	8690	1171	9079	1235	3719	1137	5200	1135	23519	1380	13282	1135	2618	1709	2603	1544	3077	1178	7682	1455	2359	1378	2018	1593	2596	1615	2242	1600	2713	2285	2235	1339	5963	1377	4735	1455	2348	1328	2470	1495	2395	1539	2753	2794	2924	1598	2726	1489	2723	2178	2298	2673
8.000000e-01	8	1187	937	1156	1608	1063	1733	1409	1145	1284	1551	1076	2131	1190	1088	1315	1783	1363	1002	1170	1272	1115	1522	1083	1338	1032	1709	1227	1568	1300	1896	1277	1064	30471	1061	23403	1049	1372	1607	1176	1073	1022	4610	1028	4135	1121	4746	1234	4528	1056	4676	1251	4906	1039	5048	1123	6609	1170	5230	1208	5448	1130	6050	1055	4275	1226	5081	1222	6318	1122	3992	1230	4803	1204	5934	1175	4705	1185	5685	1083	8866
9.000000e-01	9	6070	1355	4457	1423	6342	1349	5804	1097	6307	1875	7259	1219	7510	1191	7097	1377	8964	1044	6756	1179	7563	1292	6118	1535	6263	1343	10063	1250	9249	1513	10863	1196	3741	927	4831	1088	29180	1316	12427	1124	2507	1305	2590	1741	2908	1377	6218	1465	2624	1564	2206	1493	2661	1371	2339	1341	2690	2053	2550	1504	6571	1373	5834	1420	2596	1421	3174	1280	2245	1325	2805	2920	3021	1640	2394	1666	2577	1788	2464	3057
